,milestone,time,memory
0,start,16.884547,112.377856
1,loading data,16.889601,112.377856
2,data loaded,17.109168,107.958272
3,Start preparing fold0,17.109212,107.958272
4,Start tuning0,17.125868,108.126208
5,End tuning0,17.168061,108.15488
6,end testing0,17.61482,108.261376
7,end reporting0,17.634057,108.138496
8,Start preparing fold1,17.634092,108.138496
9,Start tuning1,17.650912,107.954176
10,End tuning1,17.726188,107.954176
11,end testing1,18.154316,107.962368
12,end reporting1,18.179928,108.003328
13,Start preparing fold2,18.179965,108.003328
14,Start tuning2,18.196262,108.032
15,End tuning2,18.256586,108.036096
16,end testing2,18.698005,108.036096
17,end reporting2,18.722386,108.048384
18,Start preparing fold3,18.722424,108.048384
19,Start tuning3,18.738664,108.077056
20,End tuning3,18.779544,108.077056
21,end testing3,19.226899,108.081152
22,end reporting3,19.246496,108.081152
23,Start preparing fold4,19.246529,108.081152
24,Start tuning4,19.262352,108.085248
25,End tuning4,19.324917,108.089344
26,end testing4,19.751949,108.089344
27,end reporting4,19.775539,108.105728
28,Start preparing fold5,19.775571,108.105728
29,Start tuning5,19.791746,108.158976
30,End tuning5,19.84727,108.158976
31,end testing5,20.281306,108.158976
32,end reporting5,20.306235,108.163072
33,Start preparing fold6,20.306273,108.163072
34,Start tuning6,20.322752,108.163072
35,End tuning6,20.384463,108.163072
36,end testing6,20.813071,108.163072
37,end reporting6,20.835501,108.167168
38,Start preparing fold7,20.835538,108.167168
39,Start tuning7,20.851726,108.167168
40,End tuning7,20.901252,108.167168
41,end testing7,21.35095,108.171264
42,end reporting7,21.372874,108.191744
43,Start preparing fold8,21.372908,108.191744
44,Start tuning8,21.389396,108.191744
45,End tuning8,21.440994,108.191744
46,end testing8,21.891538,108.191744
47,end reporting8,21.917416,108.191744
48,Start preparing fold9,21.917451,108.191744
49,Start tuning9,21.93386,108.064768
50,End tuning9,22.00135,108.064768
51,end testing9,22.431093,108.064768
52,end reporting9,22.457552,108.07296
