,milestone,time,memory
0,start,75.120274,112.57856
1,loading data,75.13482,112.57856
2,data loaded,75.433593,108.138496
3,Start preparing fold0,75.433784,108.138496
4,Start tuning0,75.456107,108.126208
5,End tuning0,75.645112,108.191744
6,end testing0,77.909663,108.240896
7,end reporting0,77.930743,108.109824
8,Start preparing fold1,77.930779,108.109824
9,Start tuning1,77.946899,107.933696
10,End tuning1,78.292526,107.933696
11,end testing1,80.460031,107.933696
12,end reporting1,80.48577,107.945984
13,Start preparing fold2,80.485809,107.945984
14,Start tuning2,80.502139,107.95008
15,End tuning2,80.77494,107.95008
16,end testing2,83.028156,107.954176
17,end reporting2,83.053368,107.966464
18,Start preparing fold3,83.053403,107.966464
19,Start tuning3,83.069563,107.99104
20,End tuning3,83.24276,107.995136
21,end testing3,85.520647,107.995136
22,end reporting3,85.542927,108.146688
23,Start preparing fold4,85.542965,108.146688
24,Start tuning4,85.559074,108.150784
25,End tuning4,85.84733,108.150784
26,end testing4,88.014755,108.150784
27,end reporting4,88.040217,108.150784
28,Start preparing fold5,88.040255,108.150784
29,Start tuning5,88.05636,108.17536
30,End tuning5,88.305858,108.17536
31,end testing5,90.50424,108.17536
32,end reporting5,90.530123,108.183552
33,Start preparing fold6,90.53016,108.183552
34,Start tuning6,90.546053,108.187648
35,End tuning6,90.82831,108.187648
36,end testing6,92.997357,108.187648
37,end reporting6,93.022448,108.191744
38,Start preparing fold7,93.022483,108.191744
39,Start tuning7,93.03854,108.191744
40,End tuning7,93.252812,108.191744
41,end testing7,95.509842,108.191744
42,end reporting7,95.532956,108.171264
43,Start preparing fold8,95.532991,108.171264
44,Start tuning8,95.549122,108.171264
45,End tuning8,95.775134,108.171264
46,end testing8,98.041664,108.171264
47,end reporting8,98.066851,108.17536
48,Start preparing fold9,98.066886,108.17536
49,Start tuning9,98.082961,108.060672
50,End tuning9,98.391588,108.064768
51,end testing9,100.544065,108.064768
52,end reporting9,100.568735,108.077056
