,milestone,time,memory
0,start,121.932037,112.3328
1,loading data,121.946092,112.3328
2,data loaded,122.236719,107.974656
3,Start preparing fold0,122.236767,107.974656
4,Start tuning0,122.253345,107.962368
5,End tuning0,122.554906,108.068864
6,end testing0,126.227601,108.07296
7,end reporting0,126.250894,108.07296
8,Start preparing fold1,126.250935,108.07296
9,Start tuning1,126.267814,107.913216
10,End tuning1,126.819863,107.917312
11,end testing1,130.32879,107.917312
12,end reporting1,130.355373,107.921408
13,Start preparing fold2,130.355415,107.921408
14,Start tuning2,130.372118,107.933696
15,End tuning2,130.806781,107.933696
16,end testing2,134.439216,107.933696
17,end reporting2,134.464261,107.937792
18,Start preparing fold3,134.4643,107.937792
19,Start tuning3,134.480685,107.70432
20,End tuning3,134.764868,107.70432
21,end testing3,138.451514,107.70432
22,end reporting3,138.473368,107.716608
23,Start preparing fold4,138.473407,107.716608
24,Start tuning4,138.490192,107.720704
25,End tuning4,138.948442,107.720704
26,end testing4,142.45808,107.7248
27,end reporting4,142.482999,107.732992
28,Start preparing fold5,142.48304,107.732992
29,Start tuning5,142.499757,107.732992
30,End tuning5,142.894986,107.732992
31,end testing5,146.486401,107.732992
32,end reporting5,146.512439,107.737088
33,Start preparing fold6,146.512481,107.737088
34,Start tuning6,146.529023,107.737088
35,End tuning6,146.976946,107.741184
36,end testing6,150.508849,107.74528
37,end reporting6,150.534573,107.74528
38,Start preparing fold7,150.534614,107.74528
39,Start tuning7,150.55138,107.74528
40,End tuning7,150.896995,107.74528
41,end testing7,154.576123,107.749376
42,end reporting7,154.599673,107.753472
43,Start preparing fold8,154.599715,107.753472
44,Start tuning8,154.616418,107.753472
45,End tuning8,154.982234,107.753472
46,end testing8,158.670514,107.753472
47,end reporting8,158.69611,107.757568
48,Start preparing fold9,158.696152,107.757568
49,Start tuning9,158.713098,107.757568
50,End tuning9,159.209601,107.757568
51,end testing9,162.703676,107.761664
52,end reporting9,162.727487,107.761664
