,milestone,time,memory
0,start,3.755485,112.058368
1,loading data,3.760303,112.058368
2,data loaded,3.922892,107.66336
3,Start preparing fold0,3.922936,107.66336
4,Start tuning0,3.940541,107.921408
5,End tuning0,3.941944,107.921408
6,end testing0,4.028137,108.027904
7,end reporting0,4.058187,108.077056
8,Start preparing fold1,4.05823,108.077056
9,Start tuning1,4.076059,107.864064
10,End tuning1,4.077726,107.864064
11,end testing1,4.147045,107.86816
12,end reporting1,4.175832,107.884544
13,Start preparing fold2,4.175874,107.884544
14,Start tuning2,4.192574,107.892736
15,End tuning2,4.194011,107.892736
16,end testing2,4.265897,107.896832
17,end reporting2,4.294967,107.905024
18,Start preparing fold3,4.295012,107.905024
19,Start tuning3,4.313238,107.78624
20,End tuning3,4.314701,107.78624
21,end testing3,4.393935,107.78624
22,end reporting3,4.421074,107.78624
23,Start preparing fold4,4.421116,107.78624
24,Start tuning4,4.43839,107.814912
25,End tuning4,4.439834,107.814912
26,end testing4,4.518866,107.819008
27,end reporting4,4.548474,107.8272
28,Start preparing fold5,4.548517,107.8272
29,Start tuning5,4.565928,107.8272
30,End tuning5,4.56748,107.8272
31,end testing5,4.637925,107.831296
32,end reporting5,4.665783,107.831296
33,Start preparing fold6,4.665824,107.831296
34,Start tuning6,4.682294,107.859968
35,End tuning6,4.683826,107.859968
36,end testing6,4.785729,107.864064
37,end reporting6,4.815904,107.880448
38,Start preparing fold7,4.815948,107.880448
39,Start tuning7,4.833776,107.913216
40,End tuning7,4.83533,107.913216
41,end testing7,4.899053,107.913216
42,end reporting7,4.925696,107.925504
43,Start preparing fold8,4.925734,107.925504
44,Start tuning8,4.942351,107.925504
45,End tuning8,4.943766,107.925504
46,end testing8,5.04884,107.925504
47,end reporting8,5.080407,107.9296
48,Start preparing fold9,5.080451,107.9296
49,Start tuning9,5.09846,107.9296
50,End tuning9,5.100039,107.9296
51,end testing9,5.177055,107.9296
52,end reporting9,5.203993,107.9296
