,milestone,time,memory
0,start,148.602031,112.553984
1,loading data,148.616492,112.553984
2,data loaded,148.913304,108.048384
3,Start preparing fold0,148.913351,108.048384
4,Start tuning0,148.931358,108.036096
5,End tuning0,149.840241,108.101632
6,end testing0,153.574473,108.101632
7,end reporting0,153.610514,108.167168
8,Start preparing fold1,153.610558,108.167168
9,Start tuning1,153.628076,107.954176
10,End tuning1,155.301551,107.958272
11,end testing1,158.842531,107.958272
12,end reporting1,158.871991,107.982848
13,Start preparing fold2,158.872047,107.982848
14,Start tuning2,158.890089,107.986944
15,End tuning2,160.196648,107.986944
16,end testing2,163.880268,107.99104
17,end reporting2,163.909073,108.003328
18,Start preparing fold3,163.909119,108.003328
19,Start tuning3,163.927991,107.90912
20,End tuning3,164.769726,107.921408
21,end testing3,168.474783,107.925504
22,end reporting3,168.510789,107.925504
23,Start preparing fold4,168.510835,107.925504
24,Start tuning4,168.527834,107.9296
25,End tuning4,169.912468,107.933696
26,end testing4,173.488889,107.933696
27,end reporting4,173.519653,107.933696
28,Start preparing fold5,173.519697,107.933696
29,Start tuning5,173.537219,107.933696
30,End tuning5,174.716515,107.941888
31,end testing5,178.297345,107.945984
32,end reporting5,178.327762,107.945984
33,Start preparing fold6,178.327802,107.945984
34,Start tuning6,178.344007,107.945984
35,End tuning6,179.70403,107.95008
36,end testing6,183.279424,107.95008
37,end reporting6,183.309086,107.962368
38,Start preparing fold7,183.309131,107.962368
39,Start tuning7,183.326699,107.962368
40,End tuning7,184.34292,107.974656
41,end testing7,188.079227,107.974656
42,end reporting7,188.105836,107.999232
43,Start preparing fold8,188.10588,107.999232
44,Start tuning8,188.12401,107.999232
45,End tuning8,189.241016,107.999232
46,end testing8,192.956584,107.999232
47,end reporting8,192.987847,108.003328
48,Start preparing fold9,192.987886,108.003328
49,Start tuning9,193.004458,108.003328
50,End tuning9,194.476403,108.007424
51,end testing9,198.004663,108.01152
52,end reporting9,198.034372,108.01152
