,milestone,time,memory
0,start,649.416429,120.89344
1,loading data,649.422202,120.89344
2,data loaded,649.702665,118.362112
3,Start preparing fold0,649.702846,118.362112
4,Start tuning0,649.770445,118.501376
5,End tuning0,650.776541,118.534144
6,end testing0,654.440849,118.534144
7,end reporting0,654.488146,118.534144
8,Start preparing fold1,654.488184,118.534144
9,Start tuning1,654.504533,118.607872
10,End tuning1,656.285417,118.607872
11,end testing1,659.758146,118.607872
12,end reporting1,659.789426,118.607872
13,Start preparing fold2,659.789466,118.607872
14,Start tuning2,659.806312,118.607872
15,End tuning2,661.213816,118.607872
16,end testing2,664.891084,118.607872
17,end reporting2,664.924327,118.607872
18,Start preparing fold3,664.924366,118.607872
19,Start tuning3,664.942491,116.641792
20,End tuning3,665.921522,116.65408
21,end testing3,669.66096,116.65408
22,end reporting3,669.708841,116.65408
23,Start preparing fold4,669.708882,116.65408
24,Start tuning4,669.725296,116.65408
25,End tuning4,671.22909,116.65408
26,end testing4,674.865926,116.65408
27,end reporting4,674.90438,116.65408
28,Start preparing fold5,674.904422,116.65408
29,Start tuning5,674.921055,116.65408
30,End tuning5,676.311329,116.457472
31,end testing5,679.949114,116.457472
32,end reporting5,679.988745,116.457472
33,Start preparing fold6,679.988787,116.457472
34,Start tuning6,680.006476,116.457472
35,End tuning6,681.561752,116.457472
36,end testing6,685.133713,116.457472
37,end reporting6,685.172292,116.457472
38,Start preparing fold7,685.172334,116.457472
39,Start tuning7,685.189786,116.457472
40,End tuning7,686.381218,116.457472
41,end testing7,690.162071,116.457472
42,end reporting7,690.199796,116.457472
43,Start preparing fold8,690.199838,116.457472
44,Start tuning8,690.216385,116.457472
45,End tuning8,691.481833,116.457472
46,end testing8,695.237233,116.457472
47,end reporting8,695.279872,116.457472
48,Start preparing fold9,695.279912,116.457472
49,Start tuning9,695.296455,116.457472
50,End tuning9,696.933567,116.457472
51,end testing9,700.492839,116.457472
52,end reporting9,700.527839,116.457472
