,milestone,time,memory
0,start,599.290249,109.223936
1,loading data,599.309736,109.223936
2,data loaded,599.538416,104.5504
3,Start preparing fold0,599.538466,104.5504
4,Start tuning0,599.558637,104.640512
5,End tuning0,600.580593,104.644608
6,end testing0,604.811148,104.644608
7,end reporting0,604.85435,104.644608
8,Start preparing fold1,604.854444,104.644608
9,Start tuning1,604.875163,104.353792
10,End tuning1,606.738989,104.353792
11,end testing1,610.796699,104.353792
12,end reporting1,610.826852,104.353792
13,Start preparing fold2,610.826897,104.353792
14,Start tuning2,610.84679,104.214528
15,End tuning2,612.29977,104.218624
16,end testing2,616.467708,104.218624
17,end reporting2,616.498023,104.218624
18,Start preparing fold3,616.498065,104.218624
19,Start tuning3,616.518688,104.218624
20,End tuning3,617.46461,104.218624
21,end testing3,621.697324,104.218624
22,end reporting3,621.732728,104.218624
23,Start preparing fold4,621.732772,104.218624
24,Start tuning4,621.75062,104.218624
25,End tuning4,623.337657,104.218624
26,end testing4,627.363353,104.218624
27,end reporting4,627.394304,104.218624
28,Start preparing fold5,627.394352,104.218624
29,Start tuning5,627.412685,104.218624
30,End tuning5,628.732387,104.218624
31,end testing5,632.804531,104.218624
32,end reporting5,632.832143,104.218624
33,Start preparing fold6,632.832217,104.218624
34,Start tuning6,632.851068,104.218624
35,End tuning6,634.352918,104.218624
36,end testing6,638.406142,104.218624
37,end reporting6,638.4412,104.230912
38,Start preparing fold7,638.441247,104.230912
39,Start tuning7,638.462888,104.230912
40,End tuning7,639.636959,104.235008
41,end testing7,643.944098,104.235008
42,end reporting7,643.974223,104.235008
43,Start preparing fold8,643.974267,104.235008
44,Start tuning8,643.993969,104.235008
45,End tuning8,645.228072,104.235008
46,end testing8,649.552337,104.235008
47,end reporting8,649.590929,104.239104
48,Start preparing fold9,649.590972,104.239104
49,Start tuning9,649.611747,104.239104
50,End tuning9,651.318685,104.239104
51,end testing9,655.400792,104.239104
52,end reporting9,655.432248,104.239104
