,milestone,time,memory
0,start,776.316733,117.469184
1,loading data,776.328301,117.469184
2,data loaded,776.556144,117.334016
3,Start preparing fold0,776.556192,117.334016
4,Start tuning0,776.649602,107.454464
5,End tuning0,777.703725,107.454464
6,end testing0,782.001165,105.934848
7,end reporting0,782.032026,105.910272
8,Start preparing fold1,782.032084,105.910272
9,Start tuning1,782.053098,105.910272
10,End tuning1,783.958089,105.910272
11,end testing1,788.036788,105.910272
12,end reporting1,788.068974,106.049536
13,Start preparing fold2,788.069019,106.049536
14,Start tuning2,788.0903,106.049536
15,End tuning2,789.596407,106.049536
16,end testing2,794.055739,106.049536
17,end reporting2,794.086591,106.057728
18,Start preparing fold3,794.086649,106.057728
19,Start tuning3,794.10727,106.057728
20,End tuning3,795.077249,106.057728
21,end testing3,799.38231,106.057728
22,end reporting3,799.419272,106.057728
23,Start preparing fold4,799.419317,106.057728
24,Start tuning4,799.439964,106.057728
25,End tuning4,801.015638,106.057728
26,end testing4,805.129932,106.057728
27,end reporting4,805.162502,106.057728
28,Start preparing fold5,805.162552,106.057728
29,Start tuning5,805.182696,106.057728
30,End tuning5,806.539835,106.057728
31,end testing5,810.701243,106.057728
32,end reporting5,810.731591,106.057728
33,Start preparing fold6,810.731635,106.057728
34,Start tuning6,810.751038,106.057728
35,End tuning6,812.311128,106.057728
36,end testing6,816.446614,106.057728
37,end reporting6,816.474744,106.057728
38,Start preparing fold7,816.474789,106.057728
39,Start tuning7,816.496607,106.057728
40,End tuning7,817.696857,106.057728
41,end testing7,822.047315,106.057728
42,end reporting7,822.077352,106.074112
43,Start preparing fold8,822.077397,106.074112
44,Start tuning8,822.099103,106.078208
45,End tuning8,823.367109,106.078208
46,end testing8,827.667494,106.078208
47,end reporting8,827.700545,106.078208
48,Start preparing fold9,827.7006,106.078208
49,Start tuning9,827.721732,106.078208
50,End tuning9,829.444938,106.078208
51,end testing9,833.549556,106.078208
52,end reporting9,833.582457,106.078208
