,milestone,time,memory
0,start,715.426409,108.834816
1,loading data,715.432375,108.834816
2,data loaded,715.529047,109.187072
3,Start preparing fold0,715.529099,109.187072
4,Start tuning0,715.548642,109.264896
5,End tuning0,716.59583,109.326336
6,end testing0,720.949465,109.461504
7,end reporting0,721.152393,109.48608
8,Start preparing fold1,721.152514,109.48608
9,Start tuning1,721.21683,109.48608
10,End tuning1,723.339318,109.48608
11,end testing1,727.414071,109.48608
12,end reporting1,727.434166,109.510656
13,Start preparing fold2,727.434209,109.510656
14,Start tuning2,727.453318,109.510656
15,End tuning2,728.945598,109.510656
16,end testing2,733.150906,109.510656
17,end reporting2,733.368306,109.522944
18,Start preparing fold3,733.368554,109.522944
19,Start tuning3,733.438703,109.441024
20,End tuning3,734.642663,109.441024
21,end testing3,739.018534,109.441024
22,end reporting3,739.224792,109.44512
23,Start preparing fold4,739.22497,109.44512
24,Start tuning4,739.290909,109.44512
25,End tuning4,741.131146,109.477888
26,end testing4,745.178713,109.477888
27,end reporting4,745.200652,109.477888
28,Start preparing fold5,745.2007,109.477888
29,Start tuning5,745.218706,109.477888
30,End tuning5,746.613402,109.481984
31,end testing5,750.833715,109.481984
32,end reporting5,751.047497,109.481984
33,Start preparing fold6,751.047668,109.481984
34,Start tuning6,751.116231,109.481984
35,End tuning6,753.096332,109.481984
36,end testing6,757.59827,109.481984
37,end reporting6,757.657374,109.48608
38,Start preparing fold7,757.657419,109.48608
39,Start tuning7,757.676178,109.48608
40,End tuning7,758.907598,109.490176
41,end testing7,763.225601,109.494272
42,end reporting7,763.298876,109.518848
43,Start preparing fold8,763.299045,109.518848
44,Start tuning8,763.362848,109.518848
45,End tuning8,764.983286,109.518848
46,end testing8,769.382999,109.518848
47,end reporting8,769.573745,109.518848
48,Start preparing fold9,769.573881,109.518848
49,Start tuning9,769.633777,109.518848
50,End tuning9,771.583454,109.518848
51,end testing9,775.727946,109.518848
52,end reporting9,775.74869,109.518848
