,milestone,time,memory
0,start,565.455214,118.12864
1,loading data,565.473853,118.12864
2,data loaded,565.764947,114.434048
3,Start preparing fold0,565.765083,114.434048
4,Start tuning0,565.898425,113.590272
5,End tuning0,566.192412,113.590272
6,end testing0,568.988783,113.590272
7,end reporting0,569.005451,113.590272
8,Start preparing fold1,569.005488,113.590272
9,Start tuning1,569.11848,113.565696
10,End tuning1,570.641091,113.565696
11,end testing1,573.135653,113.569792
12,end reporting1,573.150808,113.569792
13,Start preparing fold2,573.150851,113.569792
14,Start tuning2,573.265219,113.414144
15,End tuning2,574.355282,113.414144
16,end testing2,576.955191,113.414144
17,end reporting2,576.973905,113.414144
18,Start preparing fold3,576.973945,113.414144
19,Start tuning3,577.085021,113.262592
20,End tuning3,577.496954,113.262592
21,end testing3,580.206213,113.262592
22,end reporting3,580.223678,113.262592
23,Start preparing fold4,580.22372,113.262592
24,Start tuning4,580.336035,113.266688
25,End tuning4,581.341889,113.27488
26,end testing4,583.854616,113.27488
27,end reporting4,583.870252,113.27488
28,Start preparing fold5,583.870286,113.27488
29,Start tuning5,583.980719,113.27488
30,End tuning5,584.749376,113.27488
31,end testing5,587.34627,113.27488
32,end reporting5,587.362366,113.27488
33,Start preparing fold6,587.362405,113.27488
34,Start tuning6,587.474344,113.278976
35,End tuning6,588.414701,113.278976
36,end testing6,590.97561,113.278976
37,end reporting6,590.991923,113.283072
38,Start preparing fold7,590.991961,113.283072
39,Start tuning7,591.106051,113.283072
40,End tuning7,592.060849,113.287168
41,end testing7,594.663512,113.287168
42,end reporting7,594.67997,113.287168
43,Start preparing fold8,594.680003,113.287168
44,Start tuning8,594.795933,113.135616
45,End tuning8,595.434112,113.135616
46,end testing8,598.142613,113.135616
47,end reporting8,598.159157,113.135616
48,Start preparing fold9,598.159199,113.135616
49,Start tuning9,598.270046,113.135616
50,End tuning9,599.427243,113.135616
51,end testing9,601.961532,113.135616
52,end reporting9,601.978163,113.135616
