,milestone,time,memory
0,start,678.295025,126.81216
1,loading data,678.30751,126.81216
2,data loaded,678.609537,124.751872
3,Start preparing fold0,678.609709,124.751872
4,Start tuning0,678.795229,117.133312
5,End tuning0,679.070721,117.133312
6,end testing0,681.838928,117.137408
7,end reporting0,681.856827,117.137408
8,Start preparing fold1,681.856863,117.137408
9,Start tuning1,681.969226,116.87936
10,End tuning1,683.461417,116.87936
11,end testing1,685.892517,116.87936
12,end reporting1,685.911074,116.87936
13,Start preparing fold2,685.911112,116.87936
14,Start tuning2,686.021763,116.87936
15,End tuning2,687.102936,116.87936
16,end testing2,689.676687,116.87936
17,end reporting2,689.694156,116.87936
18,Start preparing fold3,689.694192,116.87936
19,Start tuning3,689.805174,115.433472
20,End tuning3,690.213501,115.433472
21,end testing3,692.893682,115.433472
22,end reporting3,692.914903,115.433472
23,Start preparing fold4,692.91494,115.433472
24,Start tuning4,693.024507,115.433472
25,End tuning4,694.018872,115.433472
26,end testing4,696.510214,115.433472
27,end reporting4,696.528942,115.437568
28,Start preparing fold5,696.52898,115.437568
29,Start tuning5,696.643361,115.437568
30,End tuning5,697.407756,115.437568
31,end testing5,699.975839,115.437568
32,end reporting5,699.991818,115.437568
33,Start preparing fold6,699.991854,115.437568
34,Start tuning6,700.102435,115.437568
35,End tuning6,701.011977,115.437568
36,end testing6,703.523719,115.437568
37,end reporting6,703.541038,115.437568
38,Start preparing fold7,703.541076,115.437568
39,Start tuning7,703.653497,115.437568
40,End tuning7,704.57433,115.437568
41,end testing7,707.121255,115.437568
42,end reporting7,707.137292,115.437568
43,Start preparing fold8,707.137329,115.437568
44,Start tuning8,707.248876,115.437568
45,End tuning8,707.873066,115.437568
46,end testing8,710.571141,115.437568
47,end reporting8,710.591938,115.437568
48,Start preparing fold9,710.591977,115.437568
49,Start tuning9,710.707672,115.437568
50,End tuning9,711.859045,115.437568
51,end testing9,714.357079,115.437568
52,end reporting9,714.375563,115.437568
