,milestone,time,memory
0,start,641.769547,118.419456
1,loading data,641.774502,118.419456
2,data loaded,641.855417,118.755328
3,Start preparing fold0,641.855466,118.755328
4,Start tuning0,641.968193,118.4768
5,End tuning0,642.264664,118.489088
6,end testing0,645.000066,118.5792
7,end reporting0,645.014054,118.5792
8,Start preparing fold1,645.014089,118.5792
9,Start tuning1,645.125092,118.5792
10,End tuning1,646.638841,118.5792
11,end testing1,649.092915,118.5792
12,end reporting1,649.106223,118.5792
13,Start preparing fold2,649.106261,118.5792
14,Start tuning2,649.217557,118.5792
15,End tuning2,650.316415,118.5792
16,end testing2,652.893932,118.5792
17,end reporting2,652.907572,118.5792
18,Start preparing fold3,652.907609,118.5792
19,Start tuning3,653.018436,118.419456
20,End tuning3,653.440869,118.419456
21,end testing3,656.165574,118.419456
22,end reporting3,656.179418,118.419456
23,Start preparing fold4,656.179456,118.419456
24,Start tuning4,656.291813,118.419456
25,End tuning4,657.294653,118.419456
26,end testing4,659.802461,118.419456
27,end reporting4,659.815883,118.419456
28,Start preparing fold5,659.81592,118.419456
29,Start tuning5,659.926495,118.419456
30,End tuning5,660.71091,118.423552
31,end testing5,663.285735,118.423552
32,end reporting5,663.299228,118.423552
33,Start preparing fold6,663.299265,118.423552
34,Start tuning6,663.410543,118.423552
35,End tuning6,664.344937,118.423552
36,end testing6,666.865578,118.423552
37,end reporting6,666.878832,118.423552
38,Start preparing fold7,666.878869,118.423552
39,Start tuning7,666.991355,118.423552
40,End tuning7,667.930377,118.423552
41,end testing7,670.499659,118.423552
42,end reporting7,670.513104,118.423552
43,Start preparing fold8,670.51314,118.423552
44,Start tuning8,670.624969,118.423552
45,End tuning8,671.258048,118.423552
46,end testing8,673.95328,118.423552
47,end reporting8,673.967148,118.423552
48,Start preparing fold9,673.967185,118.423552
49,Start tuning9,674.078072,118.423552
50,End tuning9,675.242624,118.427648
51,end testing9,677.736551,118.427648
52,end reporting9,677.749888,118.427648
