,milestone,time,memory
0,start,602.521312,119.435264
1,loading data,602.536428,119.435264
2,data loaded,602.807015,115.249152
3,Start preparing fold0,602.807203,115.249152
4,Start tuning0,602.923178,115.34336
5,End tuning0,603.349444,115.347456
6,end testing0,606.151953,115.347456
7,end reporting0,606.168562,115.347456
8,Start preparing fold1,606.168599,115.347456
9,Start tuning1,606.280611,115.351552
10,End tuning1,607.994602,115.351552
11,end testing1,610.488065,115.351552
12,end reporting1,610.503444,115.351552
13,Start preparing fold2,610.50348,115.351552
14,Start tuning2,610.615176,115.34336
15,End tuning2,611.850497,115.36384
16,end testing2,614.483056,115.36384
17,end reporting2,614.500989,115.36384
18,Start preparing fold3,614.501031,115.36384
19,Start tuning3,614.616565,115.36384
20,End tuning3,615.179496,115.400704
21,end testing3,618.103133,115.408896
22,end reporting3,618.123293,115.408896
23,Start preparing fold4,618.123338,115.408896
24,Start tuning4,618.25449,115.408896
25,End tuning4,619.513012,115.417088
26,end testing4,622.147698,115.417088
27,end reporting4,622.163927,115.417088
28,Start preparing fold5,622.163964,115.417088
29,Start tuning5,622.274074,115.417088
30,End tuning5,623.177506,115.417088
31,end testing5,625.768408,115.417088
32,end reporting5,625.782943,115.417088
33,Start preparing fold6,625.782979,115.417088
34,Start tuning6,625.89436,115.417088
35,End tuning6,626.942777,115.441664
36,end testing6,629.506355,115.441664
37,end reporting6,629.522207,115.441664
38,Start preparing fold7,629.522244,115.441664
39,Start tuning7,629.634732,115.441664
40,End tuning7,630.696472,115.453952
41,end testing7,633.257478,115.453952
42,end reporting7,633.274167,115.453952
43,Start preparing fold8,633.274205,115.453952
44,Start tuning8,633.386521,115.400704
45,End tuning8,634.138036,115.458048
46,end testing8,636.838684,115.462144
47,end reporting8,636.855794,115.462144
48,Start preparing fold9,636.85583,115.462144
49,Start tuning9,636.966299,115.462144
50,End tuning9,638.259919,115.462144
51,end testing9,640.758107,115.462144
52,end reporting9,640.773419,115.462144
