,milestone,time,memory
0,start,674.849067,110.10048
1,loading data,674.854667,110.10048
2,data loaded,674.94218,107.495424
3,Start preparing fold0,674.942236,107.495424
4,Start tuning0,674.961374,105.234432
5,End tuning0,675.949397,105.238528
6,end testing0,680.078245,105.238528
7,end reporting0,680.120704,105.238528
8,Start preparing fold1,680.120749,105.238528
9,Start tuning1,680.140093,105.119744
10,End tuning1,681.978914,105.12384
11,end testing1,685.955134,105.12384
12,end reporting1,685.986099,105.12384
13,Start preparing fold2,685.986144,105.12384
14,Start tuning2,686.005399,105.12384
15,End tuning2,687.432254,105.136128
16,end testing2,691.515012,105.136128
17,end reporting2,691.54578,105.136128
18,Start preparing fold3,691.545825,105.136128
19,Start tuning3,691.565466,104.89856
20,End tuning3,692.499737,104.914944
21,end testing3,696.63393,104.914944
22,end reporting3,696.6731,104.914944
23,Start preparing fold4,696.673145,104.914944
24,Start tuning4,696.692764,104.914944
25,End tuning4,698.210565,104.914944
26,end testing4,702.164656,104.914944
27,end reporting4,702.200831,104.914944
28,Start preparing fold5,702.200876,104.914944
29,Start tuning5,702.220263,104.914944
30,End tuning5,703.515071,104.914944
31,end testing5,707.517721,104.914944
32,end reporting5,707.551406,104.914944
33,Start preparing fold6,707.55145,104.914944
34,Start tuning6,707.570379,104.914944
35,End tuning6,709.047472,104.914944
36,end testing6,713.015699,104.914944
37,end reporting6,713.047495,104.914944
38,Start preparing fold7,713.04754,104.914944
39,Start tuning7,713.067084,104.914944
40,End tuning7,714.211402,104.914944
41,end testing7,718.376044,104.914944
42,end reporting7,718.405824,104.914944
43,Start preparing fold8,718.405871,104.914944
44,Start tuning8,718.425292,104.914944
45,End tuning8,719.635791,104.914944
46,end testing8,723.819681,104.914944
47,end reporting8,723.86101,104.91904
48,Start preparing fold9,723.861059,104.91904
49,Start tuning9,723.880164,104.91904
50,End tuning9,725.535602,104.91904
51,end testing9,729.485487,104.91904
52,end reporting9,729.51901,104.91904
