,milestone,time,memory
0,start,842.824789,118.493184
1,loading data,842.830937,118.493184
2,data loaded,842.921478,117.190656
3,Start preparing fold0,842.921535,117.190656
4,Start tuning0,843.008339,110.927872
5,End tuning0,843.979527,110.927872
6,end testing0,848.072912,108.62592
7,end reporting0,848.104364,107.4176
8,Start preparing fold1,848.104411,107.4176
9,Start tuning1,848.123714,107.4176
10,End tuning1,849.957206,107.4176
11,end testing1,853.889807,107.4176
12,end reporting1,853.92047,107.474944
13,Start preparing fold2,853.920515,107.474944
14,Start tuning2,853.939451,107.474944
15,End tuning2,855.382531,107.474944
16,end testing2,859.480298,107.474944
17,end reporting2,859.509681,107.483136
18,Start preparing fold3,859.509725,107.483136
19,Start tuning3,859.529109,107.483136
20,End tuning3,860.472074,107.483136
21,end testing3,864.638177,107.483136
22,end reporting3,864.674574,107.483136
23,Start preparing fold4,864.67462,107.483136
24,Start tuning4,864.694146,107.483136
25,End tuning4,866.22647,107.483136
26,end testing4,870.20895,107.483136
27,end reporting4,870.239788,107.483136
28,Start preparing fold5,870.239834,107.483136
29,Start tuning5,870.259331,107.483136
30,End tuning5,871.573832,107.483136
31,end testing5,875.659691,107.483136
32,end reporting5,875.688909,107.483136
33,Start preparing fold6,875.688957,107.483136
34,Start tuning6,875.708456,107.483136
35,End tuning6,877.205445,107.483136
36,end testing6,881.205588,107.483136
37,end reporting6,881.236679,107.352064
38,Start preparing fold7,881.236724,107.352064
39,Start tuning7,881.256107,107.352064
40,End tuning7,882.410185,107.352064
41,end testing7,886.607245,107.352064
42,end reporting7,886.636477,107.388928
43,Start preparing fold8,886.636522,107.388928
44,Start tuning8,886.656105,107.393024
45,End tuning8,887.89255,107.393024
46,end testing8,892.11369,107.393024
47,end reporting8,892.147771,107.393024
48,Start preparing fold9,892.147816,107.393024
49,Start tuning9,892.167317,107.393024
50,End tuning9,893.826859,107.393024
51,end testing9,897.82075,107.393024
52,end reporting9,897.853674,107.393024
