,milestone,time,memory
0,start,787.391363,109.862912
1,loading data,787.397351,109.862912
2,data loaded,787.486736,110.198784
3,Start preparing fold0,787.486789,110.198784
4,Start tuning0,787.506442,110.34624
5,End tuning0,788.519684,110.399488
6,end testing0,792.675106,110.44864
7,end reporting0,792.742038,110.456832
8,Start preparing fold1,792.742084,110.456832
9,Start tuning1,792.761371,110.53056
10,End tuning1,794.621886,110.53056
11,end testing1,798.617074,110.53056
12,end reporting1,798.639154,110.497792
13,Start preparing fold2,798.639199,110.497792
14,Start tuning2,798.65868,110.497792
15,End tuning2,800.115778,110.497792
16,end testing2,804.214003,110.501888
17,end reporting2,804.235803,110.501888
18,Start preparing fold3,804.235849,110.501888
19,Start tuning3,804.255597,110.501888
20,End tuning3,805.216089,110.501888
21,end testing3,809.355333,110.505984
22,end reporting3,809.422058,110.505984
23,Start preparing fold4,809.422106,110.505984
24,Start tuning4,809.441779,110.505984
25,End tuning4,810.977248,110.505984
26,end testing4,814.9293,110.505984
27,end reporting4,814.950407,110.505984
28,Start preparing fold5,814.950452,110.505984
29,Start tuning5,814.969761,110.505984
30,End tuning5,816.292736,110.505984
31,end testing5,820.319748,110.505984
32,end reporting5,820.383969,110.505984
33,Start preparing fold6,820.384015,110.505984
34,Start tuning6,820.404128,110.505984
35,End tuning6,821.895978,110.505984
36,end testing6,825.89472,110.505984
37,end reporting6,825.958365,110.518272
38,Start preparing fold7,825.958411,110.518272
39,Start tuning7,825.977907,110.518272
40,End tuning7,827.132747,110.522368
41,end testing7,831.290512,110.522368
42,end reporting7,831.312984,110.51008
43,Start preparing fold8,831.313031,110.51008
44,Start tuning8,831.332142,110.51008
45,End tuning8,832.552935,110.51008
46,end testing8,836.728256,110.51008
47,end reporting8,836.794574,110.51008
48,Start preparing fold9,836.794618,110.51008
49,Start tuning9,836.813523,110.51008
50,End tuning9,838.480718,110.51008
51,end testing9,842.457058,110.51008
52,end reporting9,842.478027,110.51008
