,milestone,time,memory
0,start,729.854637,111.45216
1,loading data,729.859926,111.45216
2,data loaded,729.951121,106.868736
3,Start preparing fold0,729.951179,106.868736
4,Start tuning0,729.971332,106.819584
5,End tuning0,731.098868,106.848256
6,end testing0,735.304389,106.848256
7,end reporting0,735.347734,106.995712
8,Start preparing fold1,735.347779,106.995712
9,Start tuning1,735.36724,106.82368
10,End tuning1,737.413515,106.82368
11,end testing1,741.467079,106.872832
12,end reporting1,741.495752,106.840064
13,Start preparing fold2,741.495798,106.840064
14,Start tuning2,741.515217,106.840064
15,End tuning2,743.127783,106.84416
16,end testing2,747.315411,106.84416
17,end reporting2,747.345095,106.807296
18,Start preparing fold3,747.345146,106.807296
19,Start tuning3,747.365249,106.807296
20,End tuning3,748.469864,106.82368
21,end testing3,752.707989,106.82368
22,end reporting3,752.75072,106.827776
23,Start preparing fold4,752.750767,106.827776
24,Start tuning4,752.770171,106.827776
25,End tuning4,754.454772,106.827776
26,end testing4,758.501905,106.827776
27,end reporting4,758.536052,106.827776
28,Start preparing fold5,758.536099,106.827776
29,Start tuning5,758.555462,106.827776
30,End tuning5,760.042889,106.827776
31,end testing5,764.148157,106.827776
32,end reporting5,764.185948,106.827776
33,Start preparing fold6,764.185996,106.827776
34,Start tuning6,764.205559,106.827776
35,End tuning6,765.84844,106.827776
36,end testing6,769.847441,106.827776
37,end reporting6,769.883588,106.827776
38,Start preparing fold7,769.883632,106.827776
39,Start tuning7,769.902673,106.827776
40,End tuning7,771.193628,106.84416
41,end testing7,775.369637,106.84416
42,end reporting7,775.401072,106.82368
43,Start preparing fold8,775.401119,106.82368
44,Start tuning8,775.420499,106.82368
45,End tuning8,776.786915,106.82368
46,end testing8,780.931089,106.82368
47,end reporting8,780.971254,106.82368
48,Start preparing fold9,780.9713,106.82368
49,Start tuning9,780.99091,106.696704
50,End tuning9,782.80993,106.696704
51,end testing9,786.773798,106.696704
52,end reporting9,786.804092,106.696704
