,milestone,time,memory
0,start,154.634344,112.47616
1,loading data,154.650664,112.47616
2,data loaded,154.767572,107.831296
3,Start preparing fold0,154.767678,107.831296
4,Start tuning0,154.7898,107.925504
5,End tuning0,155.870296,107.974656
6,end testing0,159.715396,107.974656
7,end reporting0,159.747331,108.015616
8,Start preparing fold1,159.747374,108.015616
9,Start tuning1,159.766092,107.896832
10,End tuning1,161.493028,107.896832
11,end testing1,165.215642,107.896832
12,end reporting1,165.24173,107.905024
13,Start preparing fold2,165.241771,107.905024
14,Start tuning2,165.258779,107.90912
15,End tuning2,166.622728,107.90912
16,end testing2,170.431093,107.90912
17,end reporting2,170.458374,107.921408
18,Start preparing fold3,170.458417,107.921408
19,Start tuning3,170.475536,107.921408
20,End tuning3,171.350381,107.933696
21,end testing3,175.38456,107.937792
22,end reporting3,175.421708,107.945984
23,Start preparing fold4,175.421751,107.945984
24,Start tuning4,175.439711,107.95008
25,End tuning4,176.914023,107.958272
26,end testing4,180.621048,107.958272
27,end reporting4,180.653286,107.958272
28,Start preparing fold5,180.653326,107.958272
29,Start tuning5,180.671272,108.015616
30,End tuning5,182.001592,108.015616
31,end testing5,185.775509,108.015616
32,end reporting5,185.804699,108.019712
33,Start preparing fold6,185.80474,108.019712
34,Start tuning6,185.823379,108.019712
35,End tuning6,187.229396,108.023808
36,end testing6,190.877078,108.023808
37,end reporting6,190.904339,108.027904
38,Start preparing fold7,190.904382,108.027904
39,Start tuning7,190.922949,108.027904
40,End tuning7,192.009906,108.036096
41,end testing7,195.878382,108.036096
42,end reporting7,195.908035,108.048384
43,Start preparing fold8,195.908075,108.048384
44,Start tuning8,195.92623,108.064768
45,End tuning8,197.061368,108.068864
46,end testing8,201.027425,108.068864
47,end reporting8,201.055222,108.068864
48,Start preparing fold9,201.055266,108.068864
49,Start tuning9,201.073819,108.068864
50,End tuning9,202.60598,108.07296
51,end testing9,206.346254,108.07296
52,end reporting9,206.372737,108.07296
