,Purity,Coverage,Harmonic mean,best parameters,k_segment1,k_segment2,k_tsid,acc,kappa,pr,re,j,p2,c2,h2,homo,comp,v_measure
0,94.56289220056794,87.13828601804907,90.69889835665094,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'cubic'}",170,55,130,58.38235294117647,57.73389639818958,58.38235294117647,58.38235294117647,41.22533748701973,82.89658843184947,91.56807844784149,87.01683209953885,76.20324394617074,95.39766229412528,84.72695734501389
1,95.85014917296736,81.66528353146109,88.19097573084355,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'cubic'}",225,58,134,55.46153846153846,54.79167955487192,55.46153846153846,55.46153846153846,38.37147418839809,83.79852357113171,87.44471968403157,85.58280331907203,72.66506160360528,93.97287952742516,81.95666645399942
2,93.58556328232483,89.24652073278307,91.36455407985198,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'cubic'}",139,53,135,56.398809523809526,55.70670222500169,56.398809523809526,56.398809523809526,39.274611398963735,83.09048292629672,92.60454542414111,87.58991614850541,76.3641317609569,96.5477827317716,85.27795928217884
3,96.1674922457789,79.76597315857774,87.20221121745242,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'cubic'}",254,62,134,56.84981684981685,56.24461891290884,56.84981684981685,56.84981684981685,39.71340839303992,84.12689945421512,85.37986797023373,84.74875283486776,72.40666993249513,92.39921032974014,81.19029628946745
4,96.92314349462421,76.366576038243,85.42559394175609,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'cubic'}",289,69,132,56.61538461538461,56.01355108985246,56.61538461538461,56.61538461538461,39.48497854077253,86.96073428722167,84.91094833261529,85.92361817229728,71.19829751908749,91.84948572500394,80.21607999213312
5,95.5430050670086,81.32500084266061,87.8625269462601,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'cubic'}",212,61,132,57.62839879154078,56.97890137971897,57.62839879154078,57.62839879154078,40.47745358090186,84.35669310926441,86.98517400283376,85.65077236624677,74.04271353041197,93.70947496456957,82.72325830305944
6,95.29696552636005,81.96279540391257,88.12835634053728,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'cubic'}",197,60,127,56.70498084291188,56.040932475366645,56.70498084291188,56.70498084291188,39.57219251336899,84.39520815905634,88.10952706245526,86.21237982462799,74.91492133433519,94.53086253334331,83.58746932154392
7,94.33748996030445,85.95357645372229,89.95059840773598,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'cubic'}",184,59,140,57.415565345080765,56.791679953442056,57.415565345080765,57.415565345080765,40.26776519052523,82.18103894332796,91.25743132900574,86.4817419819392,75.97859174199628,95.72882786528024,84.71784791771152
8,94.98005000348351,84.28638138861014,89.31426432417896,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'cubic'}",207,63,132,59.3108504398827,58.7208265649819,59.3108504398827,59.3108504398827,42.157373632100054,83.35567527137955,90.06139341362217,86.57888546726564,76.48076926310628,94.6031169213748,84.58212305316037
9,96.4354924118964,78.12632124176733,86.32071472662206,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'cubic'}",260,59,132,53.70370370370371,53.039564891277166,53.70370370370371,53.70370370370371,36.708860759493675,84.15943044181878,86.2414006068467,85.18769669033001,70.4108213017332,92.56985047865965,79.98395305136046
