,Purity,Coverage,Harmonic mean,best parameters,k_segment1,k_segment2,k_tsid,acc,kappa,pr,re,j,p2,c2,h2,homo,comp,v_measure
0,98.36051140399583,59.616397100311694,74.23742320784132,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'kinematic'}",596,88,130,44.779411764705884,44.25119058990489,44.779411764705884,44.779411764705884,28.84888678351492,88.67222694057705,77.50701649124068,82.71453899858648,55.73165153836628,83.53902492499317,66.85926923316833
1,92.29501809112458,92.05616024130362,92.17543442602492,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'kinematic'}",118,61,134,63.23076923076923,62.65104269345245,63.23076923076923,63.23076923076923,46.231721034870645,85.08026929518692,94.81735427115436,89.68529850837118,80.77963419068246,98.0156964094498,88.5668778298004
2,91.75565775971747,92.59883326549992,92.17531731186457,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'kinematic'}",114,59,135,60.639880952380956,60.024604533846414,60.639880952380956,60.639880952380956,43.51308061932728,83.96785784004,95.5864875864876,89.40126268762681,80.04747227785107,97.98192128096301,88.11135027404762
3,97.35217297133404,75.27537769481553,84.9021093278498,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'kinematic'}",356,76,134,56.043956043956044,55.495564228214825,56.043956043956044,56.043956043956044,38.93129770992366,87.40709939854966,84.52268511376472,85.94069678069064,69.97502501494334,90.50150559047577,78.92549887129381
4,98.32060998250284,66.50113395202484,79.3394354241086,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'kinematic'}",455,89,132,54.15384615384615,53.630945897583516,54.15384615384615,54.15384615384615,37.130801687763714,91.16831119420151,83.08291636714058,86.9380294220861,65.25922550529688,88.93708243537975,75.28020866318748
5,96.63753222802298,77.69341980941148,86.13617115020504,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'kinematic'}",289,70,132,56.797583081571,56.18329090488312,56.797583081571,56.797583081571,39.66244725738397,85.97104168620359,87.21611933211099,86.58910495122556,72.4954424726182,93.02334564583629,81.48644247022865
6,96.40129437592812,74.92858953506638,84.31935926245609,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'kinematic'}",292,79,127,58.9272030651341,58.38578639131686,58.9272030651341,58.9272030651341,41.77077675176534,86.50117708766707,83.6624977965337,85.05815994417554,73.1691708681216,91.54456809809159,81.33189359014709
7,90.76958429436442,92.36047831137117,91.5581210672207,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'kinematic'}",112,56,140,58.95741556534509,58.33971258616095,58.95741556534509,58.95741556534509,41.8011452368558,81.2654009493871,95.01353953586099,87.6033559624026,78.85670733486802,97.2189647161742,87.08037128263604
8,98.1657295391995,63.845568646449046,77.37049075234066,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'kinematic'}",502,91,132,52.41935483870967,51.91474938239148,52.41935483870967,52.41935483870967,35.51912568306011,89.62935037092684,79.66368991911577,84.35319920261682,63.44275459590275,86.44703430491253,73.17960780609683
9,94.3035224752396,86.94791607706316,90.47646543872796,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'kinematic'}",166,62,132,57.48456790123457,56.8222027390634,57.48456790123457,57.48456790123457,40.33567948023823,84.59424376091029,92.27319265233973,88.2670220151921,76.76970342045155,96.56682246225287,85.5377282189116
