,Purity,Coverage,Harmonic mean,best parameters,k_segment1,k_segment2,k_tsid,acc,kappa,pr,re,j,p2,c2,h2,homo,comp,v_measure
0,95.90798808463357,81.77124017967056,88.27723088881876,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'Random Walk'}",224,62,130,57.79411764705882,57.15326992825215,57.79411764705882,57.79411764705882,40.641158221302994,84.94878893193561,88.22881038724077,86.55773749915417,74.26475895281143,94.07163818469309,83.00293522827012
1,95.80594520911582,83.33795931007319,89.13808130876325,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'Random Walk'}",217,66,134,60.07692307692307,59.48521543633108,60.07692307692307,60.07692307692307,42.93567894447499,86.0746404610935,88.35454305800022,87.19969185648443,75.64305792251035,94.56496933052028,84.05224557212058
2,94.0347330427444,88.4435887719564,91.15350444704903,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'Random Walk'}",148,58,135,58.18452380952381,57.521885006844165,58.18452380952381,58.18452380952381,41.028331584470095,84.53197889724929,92.55058465673005,88.35973358546946,76.8605646039604,96.77950383263774,85.67754405583807
3,97.24415143899952,72.68985522877018,83.19303979885679,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'Random Walk'}",345,72,134,55.091575091575095,54.504205701484906,55.091575091575095,55.091575091575095,38.01820020222447,86.61013473410075,81.98534208022717,84.2343063759628,68.34290380333658,89.80982312677493,77.6194533181866
4,96.60420873376387,75.16856272401672,84.54890099264348,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'Random Walk'}",292,70,132,57.46153846153847,56.87726365873233,57.46153846153847,57.46153846153847,40.31300593631948,85.97486672469749,83.89691770237168,84.92318300419196,71.34397286389013,91.54564832343353,80.19209820966225
5,95.32522100845222,83.8303631431031,89.20902947769754,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'Random Walk'}",192,62,132,58.08157099697885,57.423064621546075,58.08157099697885,58.08157099697885,40.92602448110697,85.3277954755581,89.41357622631618,87.3229192454084,75.31184570350835,95.05755904837808,84.04044412116566
6,95.41849686150334,81.74620199440577,88.05478482806521,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'Random Walk'}",207,67,127,57.931034482758626,57.28031511838405,57.931034482758626,57.931034482758626,40.77669902912621,85.7336360579259,87.461737552461,86.5890655160875,75.30064168137064,94.44071968520547,83.79156071204628
7,90.35820581051205,93.03644171920033,91.67776772088433,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'Random Walk'}",103,51,140,54.69897209985316,53.96296785284436,54.69897209985316,54.69897209985316,37.645275391611925,80.0834056676231,95.21331246749966,86.99542590883418,76.37745965070293,97.87697757635257,85.80091301583144
8,96.93507539151504,74.6211357806482,84.3269430267216,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'Random Walk'}",312,70,132,55.351906158357764,54.738632159438815,55.351906158357764,55.351906158357764,38.26659908768373,86.17133759923374,82.78852394803639,84.4460664342176,70.08977534781718,91.14118560998942,79.24117286641481
9,95.3111915956816,82.69333291323956,88.55505351589255,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'Random Walk'}",198,64,132,57.407407407407405,56.75957960702396,57.407407407407405,57.407407407407405,40.25974025974026,85.37050237119821,88.81105778096442,87.05679995350883,75.12172033899014,95.23610443897171,83.99144580724652
