,Purity,Coverage,Harmonic mean,best parameters,k_segment1,k_segment2,k_tsid,acc,kappa,pr,re,j,p2,c2,h2,homo,comp,v_measure
0,100.0,22.15937655189011,36.27945259278134,"{'theta_time': 60, 'theta_distance': 100}",1360,131,130,9.558823529411764,9.492273730684332,9.558823529411764,9.558823529411764,5.019305019305019,99.74306460621858,84.76370037118681,91.64532523694494,11.269543670620541,65.56663221009651,19.2332847531168
1,100.0,22.761158316544826,37.08201947370718,"{'theta_time': 60, 'theta_distance': 100}",1297,135,134,10.461538461538462,10.391919876211519,10.461538461538462,10.461538461538462,5.51948051948052,99.75626829578721,83.95525959390292,91.17624241763055,12.256472567836326,66.23698013088057,20.68533621693337
2,100.0,22.662570752093607,36.951077436483295,"{'theta_time': 60, 'theta_distance': 100}",1341,136,135,10.193452380952381,10.125934983177087,10.193452380952381,10.193452380952381,5.3704429635437085,99.76728885423266,84.00409591457306,91.20963976618503,11.976466826447894,66.17486307358755,20.282215372644437
3,100.0,22.73729268569258,37.050340916217806,"{'theta_time': 60, 'theta_distance': 100}",1362,135,134,9.963369963369964,9.896731578910611,9.963369963369964,9.963369963369964,5.242868157286044,99.74806376759183,84.72539388147159,91.62504025593374,11.706754558444942,66.04556703155099,19.888261266044875
4,100.0,23.019588252194364,37.424264833342505,"{'theta_time': 60, 'theta_distance': 100}",1297,133,132,10.307692307692308,10.237954102802949,10.307692307692308,10.307692307692308,5.43390105433901,99.76334489740647,84.55616932356321,91.5324274706713,12.093352002167949,66.17361411744281,20.449516531786227
5,100.0,23.06049897402614,37.47831215749161,"{'theta_time': 60, 'theta_distance': 100}",1321,133,132,10.120845921450151,10.05224249973885,10.120845921450151,10.120845921450151,5.330151153540175,99.75484930814432,83.75768284415567,91.05901305512964,11.967720042849338,66.24462804197557,20.272941093373774
6,100.0,21.129130197254312,34.88695107914389,"{'theta_time': 60, 'theta_distance': 100}",1302,128,127,9.885057471264368,9.815261969304935,9.885057471264368,9.885057471264368,5.199516324062878,99.73626169217687,84.38268082636773,91.41930778076656,11.523529461983175,65.26127788063032,19.588256698451133
7,100.0,23.126853724786482,37.56589732485116,"{'theta_time': 60, 'theta_distance': 100}",1359,141,140,10.425844346549193,10.359400734435354,10.425844346549193,10.425844346549193,5.499612703330752,99.75002906638764,84.01600341807067,91.20944354831241,12.255151875690823,66.56944716664013,20.699596197624402
8,100.0,22.119635235368285,36.22617311742837,"{'theta_time': 60, 'theta_distance': 100}",1361,133,132,9.824046920821115,9.757255990606318,9.824046920821115,9.824046920821115,5.165767154973015,99.75304113943396,84.69854658281352,91.61143805873132,11.519888333401124,65.72640140302791,19.603810287916172
9,100.0,22.158487199940556,36.27826065604934,"{'theta_time': 60, 'theta_distance': 100}",1293,133,132,10.339506172839506,10.269575232660056,10.339506172839506,10.339506172839506,5.451586655817739,99.74311855369922,83.90211886066551,91.13940667618236,12.049380862321483,65.88611899267113,20.37292229497571
