,Purity,Coverage,Harmonic mean,best parameters,k_segment1,k_segment2,k_tsid,acc,kappa,pr,re,j,p2,c2,h2,homo,comp,v_measure
0,74.91113685479579,92.45855786139185,82.76499151290972,"{'interpolation_kernel': 'kinematic', 'window_size': 7, 'epsilon': 7076681.179234693, 'percentile': 98}",40,40,130,52.794117647058826,51.97829915442822,52.794117647058826,52.794117647058826,35.86413586413587,75.47738282366977,92.45855786139185,83.1094277801542,74.01894697936234,95.32187544793065,83.33046625875595
1,80.63204286811575,85.26403022059704,82.88337164170353,"{'interpolation_kernel': 'kinematic', 'window_size': 7, 'epsilon': 2626984.2349426784, 'percentile': 94}",57,55,134,58.38461538461538,57.744177131987406,58.38461538461538,58.38461538461538,41.227593699076586,80.10997465858108,85.26403022059704,82.60668664643958,75.57751433329261,92.40428467589751,83.14812903233909
2,80.59738520502505,85.08395666000229,82.77992382848245,"{'interpolation_kernel': 'kinematic', 'window_size': 7, 'epsilon': 2494177.7829866814, 'percentile': 90}",57,52,135,56.69642857142857,56.028779437284314,56.69642857142857,56.69642857142857,39.56386292834891,78.9530545122942,85.08395666000229,81.90393399990637,74.91021174492126,92.61400717688315,82.82664957720904
3,71.1030346679995,96.3811758308027,81.83450924753447,"{'interpolation_kernel': 'kinematic', 'window_size': 7, 'epsilon': 10367126.536213549, 'percentile': 97}",25,24,134,35.16483516483517,33.888971890807426,35.16483516483517,35.16483516483517,21.333333333333336,71.1030346679995,96.3811758308027,81.83450924753447,61.59195830794842,97.68879555043459,75.55017259706918
4,81.02816122290065,87.95751923131073,84.35076901053972,"{'interpolation_kernel': 'kinematic', 'window_size': 7, 'epsilon': 3447513.7906360505, 'percentile': 96}",57,51,132,57.53846153846154,56.87818748974684,57.53846153846154,57.53846153846154,40.38876889848812,78.95329655633033,87.95751923131073,83.2125355982235,76.51686534484838,93.35439586356404,84.10116798836428
5,71.07476230999976,96.63538797061526,81.90723363200007,"{'interpolation_kernel': 'kinematic', 'window_size': 7, 'epsilon': 10644604.01327739, 'percentile': 97}",23,22,132,33.68580060422961,32.276372652627984,33.68580060422961,33.68580060422961,20.254314259763852,71.07476230999977,96.63538797061526,81.90723363200009,59.67704234134883,97.72502385250192,74.1024629126872
6,77.82756452824337,90.44893794790188,83.66492589361152,"{'interpolation_kernel': 'kinematic', 'window_size': 7, 'epsilon': 4517755.675684719, 'percentile': 92}",45,43,127,53.40996168582376,52.612284827975856,53.40996168582376,53.40996168582376,36.43491897543126,77.09659488333601,90.44893794790188,83.24071682199164,74.26681078645439,94.38444707588148,83.12575857442258
7,73.72358650985149,94.95425407925407,83.00281934653178,"{'interpolation_kernel': 'kinematic', 'window_size': 7, 'epsilon': 9522929.137958603, 'percentile': 99}",33,31,140,42.36417033773862,41.3089911417566,42.36417033773862,42.36417033773862,26.87470889613414,72.87596026823383,94.95425407925407,82.46289232822011,67.80958540865683,97.30138722811613,79.92160208686524
8,80.1110475306933,83.83154607980707,81.92908047467644,"{'interpolation_kernel': 'kinematic', 'window_size': 7, 'epsilon': 1995158.6912554957, 'percentile': 92}",61,53,132,56.89149560117303,56.24155010033489,56.89149560117303,56.89149560117303,39.75409836065574,78.75484060856913,83.83154607980707,81.21393413015842,74.3242592727143,91.97807969266432,82.21414906145301
9,78.89708531105529,89.60081807675391,83.9089774484809,"{'interpolation_kernel': 'kinematic', 'window_size': 7, 'epsilon': 4291417.270930259, 'percentile': 94}",48,46,132,54.4753086419753,53.73954414720292,54.4753086419753,54.4753086419753,37.433722163308595,77.1302938716125,89.60081807675391,82.89919438115557,74.97297398417896,94.08243830100703,83.44767084073557
