,Purity,Coverage,Harmonic mean,best parameters,k_segment1,k_segment2,k_tsid,acc,kappa,pr,re,j,p2,c2,h2,homo,comp,v_measure
0,89.42297762291085,81.61159981124169,85.3389106831371,"{'num_k': 153, 'delta': 1}",153,105,130,62.205882352941174,61.90087928175003,62.205882352941174,62.205882352941174,45.14407684098185,88.06740768254848,82.75331500487995,85.32770280983563,75.23121630319017,86.23007466587893,80.35602044420317
1,89.31617974007034,83.80054670132256,86.47049704957742,"{'num_k': 135, 'delta': 1}",135,100,134,62.07692307692307,61.75918489604155,62.07692307692307,62.07692307692307,45.008365867261574,86.38135211611201,84.75918552474927,85.56258091525514,77.90932157515621,88.23357849197977,82.75067111120204
2,88.4671906869865,84.88253313715045,86.63779877326984,"{'num_k': 126, 'delta': 1}",126,93,135,61.16071428571429,60.821950090382785,61.16071428571429,61.16071428571429,44.05144694533762,85.96023078339819,85.20238368945712,85.57962949792278,77.10701786237921,88.00400824071394,82.1959235010844
3,86.68209527142899,86.12974791223375,86.4050388756946,"{'num_k': 117, 'delta': 1}",117,93,134,65.42124542124542,65.09683315573321,65.42124542124542,65.42124542124542,48.61186717474143,84.7666636346289,86.4593499022835,85.60464008765366,81.41231930352922,89.71942614142282,85.36425021276352
4,88.42373987540826,83.74419636939415,86.02037286795863,"{'num_k': 135, 'delta': 1}",135,99,132,62.30769230769231,61.9863079097124,62.30769230769231,62.30769230769231,45.2513966480447,86.27338870349472,84.51652504534502,85.38592071459762,77.88634206039625,87.95700090330826,82.61590651197788
5,88.44565055082771,83.73871751159929,86.02784828783247,"{'num_k': 135, 'delta': 1}",135,100,132,62.160120845921455,61.840561101216366,62.160120845921455,62.160120845921455,45.09589041095891,86.73397956698503,84.87199188829472,85.79288410330189,77.8146106984236,87.83290341346812,82.52080596892708
6,91.12549179215847,77.0371596558374,83.4911795153296,"{'num_k': 180, 'delta': 1}",180,108,127,57.31800766283525,57.01535273684621,57.31800766283525,57.31800766283525,40.171858216971,88.97547104063199,79.8878627378247,84.18713593387722,69.67485541542277,84.8617598794256,76.52207004296166
7,80.44482009469213,90.08023748354192,84.99030701251756,"{'num_k': 90, 'delta': 1}",90,81,140,62.48164464023495,62.07899650583786,62.48164464023495,62.48164464023495,45.43513080619327,79.25095561147442,90.08023748354192,84.31931260619417,83.14865152810036,91.31617960325976,87.04123515864349
8,90.6372517544545,79.49033432351584,84.69861484808547,"{'num_k': 162, 'delta': 1}",162,106,132,58.577712609970675,58.27659930408664,58.577712609970675,58.577712609970675,41.42042509072058,89.0626168077757,81.69236342919994,85.21842994118283,72.75552219193793,86.05776867821969,78.84954545745015
9,87.85507372839673,84.3577574868632,86.0709036750783,"{'num_k': 135, 'delta': 1}",135,99,132,62.5,62.18736661245616,62.5,62.5,45.45454545454545,85.39450598508374,85.88482605860264,85.63896420402423,78.44859475984781,88.21466010475486,83.04549347794385
