,Purity,Coverage,Harmonic mean,best parameters,k_segment1,k_segment2,k_tsid,acc,kappa,pr,re,j,p2,c2,h2,homo,comp,v_measure
0,95.74760188072082,82.32880291435511,88.53262119516882,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09)}",207,62,130,57.720588235294116,57.07207390190695,57.720588235294116,57.720588235294116,40.56847545219638,85.53734247007783,87.29278337833556,86.40614789053633,74.56439469328298,94.24738774456371,83.2583995869355
1,96.4647960576826,80.3783193604802,87.68990713869381,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09)}",241,69,134,59.07692307692308,58.477649916637105,59.07692307692308,59.07692307692308,41.92139737991266,87.55284680530967,87.51347690608553,87.53315742883545,74.36914641203835,94.19222193822121,83.11507212783015
2,94.15654670643934,88.31444228968385,91.14197227788829,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09)}",149,59,135,58.333333333333336,57.66614844296652,58.333333333333336,58.333333333333336,41.17647058823529,85.00067364362283,91.89057397692663,88.31144326928863,76.82717081825305,96.67253698805584,85.61487055536338
3,97.26966552246846,71.59979919845006,82.48369272703005,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09)}",361,75,134,54.43223443223443,53.84841179460279,54.43223443223443,54.43223443223443,37.393054856567694,86.64816918845256,80.94503729368815,83.69956555651318,67.84986771219505,89.36476940078481,77.13515603024554
4,96.08237057528254,79.9886195690378,87.29997123248987,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09)}",249,68,132,57.30769230769231,56.69421070922458,57.30769230769231,57.30769230769231,40.16172506738545,85.47785054023531,88.0423713727896,86.74115994599593,73.70051772958972,93.44882440452615,82.40806277668722
5,95.05539177147591,86.00230277164383,90.30251493963193,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09)}",183,57,132,57.477341389728096,56.80228467844473,57.477341389728096,57.477341389728096,40.328563857975624,83.96329954495015,90.87844514778621,87.28412228478403,75.21745935182079,95.13531153091584,84.011975747964
6,95.1448495521345,84.39428447294752,89.44770222760312,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09)}",182,59,127,57.547892720306514,56.88427988094082,57.547892720306514,57.547892720306514,40.39806347498655,84.88668717169307,90.0791988586493,87.40589320211647,75.84029845009712,95.73584579214109,84.63455277322929
7,92.21004300706231,89.05659980359714,90.60589163699704,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09)}",138,58,140,57.048458149779734,56.37999448159876,57.048458149779734,57.048458149779734,39.907550077041606,81.34415650263315,93.65013721856315,87.06445514774117,77.73100199575622,97.68586142809707,86.57343132715083
8,96.66343375542198,74.88234099417633,84.39011941514967,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09)}",290,70,132,56.231671554252195,55.61398775213193,56.231671554252195,56.231671554252195,39.11269760326364,86.02436008565266,83.03169164352698,84.50153741796845,71.38438096023181,92.2495165823434,80.48668074288035
9,96.38828785457537,78.45224576949609,86.50028104269052,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09)}",254,63,132,54.552469135802475,53.88613619146692,54.552469135802475,54.552469135802475,37.50663129973475,85.28914275990849,85.54099035824068,85.41488091497413,71.23350865343848,93.02270526370302,80.68289804501251
