,Purity,Coverage,Harmonic mean,best parameters,k_segment1,k_segment2,k_tsid,acc,kappa,pr,re,j,p2,c2,h2,homo,comp,v_measure
0,99.13322038038713,52.64369924881605,68.76855126617777,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",655,108,130,49.55882352941177,49.11684212018975,49.55882352941177,49.55882352941177,32.94232649071358,94.55240889061852,76.62007350561626,84.64692943533116,54.998025799990344,82.68712677264652,66.05837516387179
1,95.43677903718813,86.23864464278984,90.60486340451087,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",200,62,134,56.6923076923077,56.04127639460388,56.6923076923077,56.6923076923077,39.559849704777236,84.96663462912859,91.17167181462297,87.95985704647038,75.28262666501804,94.87424820678093,83.95056165972277
2,92.87775655758578,90.96845946910952,91.91319370711159,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",135,57,135,56.547619047619044,55.86018252124053,56.547619047619044,56.547619047619044,39.41908713692946,82.86432346561449,95.62983513048516,88.79059856683807,77.47610165574463,97.0630789274417,86.17055431193491
3,98.34336071414182,60.365867741729595,74.81080166422382,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",570,85,134,45.494505494505496,44.99142826964795,45.494505494505496,45.494505494505496,29.445234708392604,88.56370449418375,78.56058850612759,83.26278149560089,56.18432708170907,84.1491549409174,67.38040810656473
4,95.8036925646417,82.0300894162201,88.38349361908492,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",230,67,132,55.38461538461539,54.71825022670903,55.38461538461539,55.38461538461539,38.297872340425535,85.3570693445289,88.28670317283385,86.7971725754795,73.25463331287439,93.26727179019542,82.0583909468738
5,97.43526737812476,73.75754951963953,83.9589731488928,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",351,73,132,57.250755287009056,56.7023020376468,57.250755287009056,57.250755287009056,40.10582010582011,87.38560930263584,84.49575912148549,85.91639061309162,69.36233507047038,89.90609577687418,78.3092632604702
6,97.80316782006764,70.96482930230825,82.25001455155503,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",390,76,127,56.32183908045977,55.77197042308122,56.32183908045977,56.32183908045977,39.2,88.52176979248074,84.82665863657853,86.63483154870968,68.2924453825003,90.34712327878972,77.78672161113019
7,90.08829322886189,93.4157061056076,91.72183226899686,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",97,47,140,50.881057268722465,50.01700516079202,50.881057268722465,50.881057268722465,34.12112259970458,79.28199846273446,95.93611426887288,86.81758689680787,73.27715021458377,98.13702778853585,83.90439823177809
8,98.84179100290945,54.17345776301147,69.9878166823473,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",672,108,132,46.18768328445748,45.76813969751418,46.18768328445748,46.18768328445748,30.028598665395617,92.74588531286456,76.17552277811124,83.64796835486045,53.90080403676555,80.94256359999923,64.71017945190303
9,96.23787193791448,79.45586732750021,87.04537357507462,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",241,69,132,54.78395061728395,54.11471924375226,54.78395061728395,54.78395061728395,37.725823591923486,86.63095931121414,89.27738839902129,87.93426693481531,72.83824131973924,94.324931439759,82.20066663321505
