,Purity,Coverage,Harmonic mean,best parameters,k_segment1,k_segment2,k_tsid,acc,kappa,pr,re,j,p2,c2,h2,homo,comp,v_measure
0,96.01280523458283,90.28626444247672,93.06152240373743,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09)}",110,36,58,65.96356663470758,65.17571794838032,65.96356663470758,65.96356663470758,49.213161659513595,87.07616414270677,94.34756712446905,90.56614792357864,81.29348277651644,95.29703871590034,87.74002262445032
1,97.94990058517462,80.57127165327246,88.41470117525357,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09)}",165,41,53,71.18279569892472,70.5217243206419,71.18279569892472,71.18279569892472,55.25876460767947,91.08618528180034,89.41823182098733,90.24450217835297,80.2606405061782,92.21855708341012,85.8250799111654
2,96.41112461340472,91.23212643194836,93.75015473432123,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09)}",102,39,55,71.28309572301426,70.6046073205062,71.28309572301426,71.28309572301426,55.379746835443036,89.81242847608416,94.06040926023117,91.88734870378582,84.46605793051681,95.58666327766474,89.682939348202
3,98.42994044153487,76.81712391866198,86.29080275676476,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09)}",226,43,58,65.30214424951268,64.61657689774091,65.30214424951268,65.30214424951268,48.480463096960925,91.26777595055435,86.31903962747424,88.72445562295495,74.82991685259115,89.54637279819907,81.52936953590803
4,97.70417984573922,82.24215745482233,89.30887578385278,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09)}",163,40,55,68.20566631689402,67.4921251775916,68.20566631689402,68.20566631689402,51.7515923566879,90.01953287138728,90.80781402047887,90.41195526784584,79.04866448917102,92.0517491522217,85.0561103800272
5,93.9247677615484,94.20522211483684,94.0647858948489,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09)}",64,27,54,60.44852191641182,59.3931395883497,60.44852191641182,60.44852191641182,43.31628926223521,84.72225652639929,96.3039875469356,90.14263295615127,78.8638100595231,97.00797246361459,86.99995195219516
6,96.7341559852562,89.47667294314816,92.9639859006498,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09)}",107,39,54,72.58566978193146,71.92884825598728,72.58566978193146,72.58566978193146,56.96821515892421,90.40812844264084,92.15157006248972,91.27152433554716,83.86336417954357,94.63905533990771,88.9259606110134
7,92.27757442852061,97.12946185643986,94.64137469713909,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09)}",61,35,54,72.09062821833162,71.3840314933229,72.09062821833162,72.09062821833162,56.36070853462157,85.27107416272322,97.12946185643986,90.81479392665528,85.70159273828448,97.46449525026527,91.2053379542927
8,97.04409957345945,85.16867986897032,90.71940919880228,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09)}",151,40,58,67.54385964912281,66.83366743193852,67.54385964912281,67.54385964912281,50.993377483443716,88.26111874695222,90.60929289579025,89.41979264659673,79.79489191176495,92.84721169580834,85.82765231378686
9,97.54411087897694,82.34914834586604,89.30489659980742,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09)}",154,38,55,64.24050632911393,63.426550267837946,64.24050632911393,64.24050632911393,47.31934731934732,89.2407345808454,90.95520895192665,90.08981558286861,77.44965651266014,92.71645250215221,84.39820879654702
