,Purity,Coverage,Harmonic mean,best parameters,k_segment1,k_segment2,k_tsid,acc,kappa,pr,re,j,p2,c2,h2,homo,comp,v_measure
0,90.430337344951,98.89919186065231,94.47535543586123,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",44,33,58,66.73058485139022,65.91471167157967,66.73058485139022,66.73058485139022,50.07194244604316,86.48287403569222,98.89919186065231,92.27522965138351,83.5213859377797,98.86079003781586,90.54602133891733
1,87.13551078665006,98.5688080263552,92.50020128671576,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",40,30,53,64.19354838709678,63.17943974347238,64.19354838709678,64.19354838709678,47.26840855106889,81.63522650341218,98.5688080263552,89.30640193933783,81.53617122870567,98.70427480297266,89.3025825061032
2,95.79226562508684,92.29886627464559,94.01312465691848,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",87,40,55,73.72708757637476,73.11113799756748,73.72708757637476,73.72708757637476,58.387096774193544,89.88043579907998,93.75341172919104,91.77608177678644,85.4243202963534,95.36922020620828,90.12325098189183
3,92.19807041153311,97.32348235492253,94.6914706836755,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",58,35,58,67.15399610136453,66.3728588059205,67.15399610136453,67.15399610136453,50.55025678650037,85.88061192006438,97.32348235492253,91.24468808308168,83.5032455703419,97.81514522907746,90.09435895113258
4,94.15707684717327,94.32671070759305,94.24181744284273,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",73,33,55,66.21196222455404,65.36958437768376,66.21196222455404,66.21196222455404,49.49019607843137,85.72078056908546,94.93277131365366,90.09190435264738,82.17227009247601,95.91613965186025,88.51386729787977
5,77.85964572618666,99.86772486772487,87.50104895714598,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",15,15,54,41.08053007135576,39.18484538747248,41.08053007135576,41.08053007135576,25.84990378447723,77.85964572618664,99.86772486772487,87.50104895714597,63.093903695626466,99.85053299859149,77.32648061857587
6,94.5817683845524,97.43413582302472,95.98676635868678,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",63,34,54,66.97819314641744,66.13130128956624,66.97819314641744,66.97819314641744,50.35128805620609,88.48974730078828,97.43413582302472,92.74679414595177,82.89399013398526,97.37960426860738,89.55481230896496
7,93.88262386849087,94.27126780793822,94.076544453714,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",77,33,54,66.52935118434603,65.68538969088307,66.52935118434603,66.52935118434603,49.84567901234568,84.24464087833053,95.75274928941973,89.63081041877538,82.49881346447332,96.68818518279535,89.03168883715743
8,92.55389442795682,94.66751017308562,93.59877158264317,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",74,34,58,63.25536062378168,62.36056793600162,63.25536062378168,63.25536062378168,46.258018531717745,82.93293808781993,96.0468205179132,89.00945091886942,80.95173415507071,96.53018098029567,88.05725972359225
9,87.79885433949164,98.82138420106334,92.98460215193228,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",36,29,55,63.39662447257383,62.442628865273164,63.39662447257383,63.39662447257383,46.40926640926641,83.56064676626548,98.82138420106334,90.55254768664892,81.5200762409092,98.92006361577418,89.38112256084926
