,Purity,Coverage,Harmonic mean,best parameters,k_segment1,k_segment2,k_tsid,acc,kappa,pr,re,j,p2,c2,h2,homo,comp,v_measure
0,94.54856019361041,85.0592710285137,89.55323999116813,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09)}",185,57,130,58.6764705882353,58.05321060436262,58.6764705882353,58.6764705882353,41.51925078043705,82.06518455922625,90.18137115061383,85.9320621742501,75.97965124906914,94.4049355010041,84.19604393064708
1,95.29720902257948,84.91765758635647,89.80852597777394,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09)}",191,65,134,60.07692307692307,59.472292851878336,60.07692307692307,60.07692307692307,42.93567894447499,86.12012764565023,89.88449009050241,87.96205303615987,76.32771833725457,95.02069324716511,84.6545660192132
2,94.02355837827938,88.4327816566489,91.14251450024523,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09)}",146,54,135,55.654761904761905,54.937057224847216,55.654761904761905,55.654761904761905,38.55670103092784,83.66226118285094,92.64265819985877,87.92374363832171,75.40909835021242,96.89062684945746,84.81075406054644
3,97.35208585836514,72.11905287226661,82.85706085216556,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09)}",358,74,134,54.94505494505495,54.36301483803416,54.94505494505495,54.94505494505495,37.878787878787875,87.02171529916367,81.5415830783789,84.19256737367172,68.09288473117435,89.80186499436638,77.45498887499416
4,95.72871057865895,83.23414067821552,89.04526170977853,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09)}",207,61,132,57.30769230769231,56.671376865337756,57.30769230769231,57.30769230769231,40.16172506738545,85.31914951967775,89.20876790284275,87.22061569946568,74.56894578537495,94.55878029116661,83.38252662218221
5,94.13224441726867,89.70944345192339,91.86764281191874,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09)}",139,53,132,55.81570996978852,55.06333740614263,55.81570996978852,55.81570996978852,38.71136720796228,84.39638396740999,94.28255552503548,89.06597252169132,75.19251243643977,97.30449551586511,84.8312625946672
6,95.35595330965452,82.51284104392074,88.47072525145161,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09)}",201,65,127,57.8544061302682,57.19813729155896,57.8544061302682,57.8544061302682,40.700808625336926,85.51972158164335,88.2371255083627,86.8571746439536,75.39503310258243,94.9362432548879,84.04470812295618
7,92.20185163145686,90.16411954795413,91.17160092178395,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09)}",126,57,140,56.02055800293686,55.31696747897126,56.02055800293686,56.02055800293686,38.908720040795515,82.64817087098933,93.66241886768202,87.811260914505,76.78788512269664,97.81087322794252,86.03371717105226
8,96.75783234093738,74.66196673102597,84.28583043867074,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09)}",305,70,132,55.57184750733137,54.954599504523706,55.57184750733137,55.57184750733137,38.47715736040609,85.74418422931065,83.0440013630606,84.37249475753855,70.48065193952448,91.42216179792922,79.59705475764859
9,95.64944226105986,81.24278453266504,87.8594517027193,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09)}",231,64,132,55.47839506172839,54.82361811231024,55.47839506172839,55.47839506172839,38.38761345435131,84.17917122092197,88.40007168995218,86.23800458521282,73.06691207015588,93.64499281424455,82.08592494355258
