,Purity,Coverage,Harmonic mean,best parameters,k_segment1,k_segment2,k_tsid,acc,kappa,pr,re,j,p2,c2,h2,homo,comp,v_measure
0,98.82423691200177,57.77177391293725,72.91694650358839,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",576,96,130,52.794117647058826,52.31528535625088,52.794117647058826,52.794117647058826,35.86413586413587,92.64992827473174,76.59672766101473,83.86199756367878,58.98117725571216,84.273420173147,69.39456914317721
1,92.90416279393345,91.31812790763105,92.10431798301099,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",123,57,134,57.07692307692308,56.36956792399379,57.07692307692308,57.07692307692308,39.93541442411195,84.34752699261732,94.4234347069677,89.10153116550678,77.28427828634743,97.58014352379628,86.25437798322135
2,92.80578423686549,89.65898215591702,91.20524819511834,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",141,57,135,58.407738095238095,57.75379208547129,58.407738095238095,58.407738095238095,41.25065685759328,82.02751603247059,94.33270349630503,87.75082463726365,78.09028920410971,97.26170068501771,86.62797998219378
3,98.29697554848596,61.29899025332225,75.50949443873007,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",534,91,134,49.523809523809526,49.01061116677293,49.523809523809526,49.523809523809526,32.91139240506329,89.70618179795827,78.14180516633851,83.52561275296394,59.2060647025619,84.80685790422257,69.73096893544789
4,96.35424419447622,76.82182650287672,85.48651093094713,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",287,74,132,58.07692307692308,57.53166992546912,58.07692307692308,58.07692307692308,40.921409214092144,85.62963674188488,86.54945998051018,86.08709139979392,73.08229837885361,91.67319971225237,81.32885654608371
5,97.4228221307707,68.88786696617045,80.70738503766869,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",394,87,132,57.70392749244713,57.19996421015565,57.70392749244713,57.70392749244713,40.552016985138,88.18825402998063,82.02912806197699,84.99726049692582,69.0553048268712,88.08460821979784,77.4177527941887
6,97.39775392647351,72.13553232798485,82.8844763439661,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",372,78,127,56.32183908045977,55.777597311877194,56.32183908045977,56.32183908045977,39.2,87.4333539237248,84.16162522021948,85.76629924005583,69.83810280667542,90.62934177587974,78.88679606895536
7,93.29096549375477,87.39124482127788,90.24478492778103,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",170,61,140,57.70925110132159,57.08973877923405,57.70925110132159,57.70925110132159,40.55727554179567,81.1487126808082,93.04515638590374,86.69070504437693,76.82757178611404,95.61784592734284,85.19898086504234
8,97.62739447820306,64.05024117501311,77.3521722575074,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",439,89,132,54.692082111436946,54.17287107817314,54.692082111436946,54.692082111436946,37.638748738647834,88.6491519403689,77.36112011089203,82.62136560886994,65.53201781298881,87.2072713846722,74.83167548864047
9,95.03248549200075,86.31466516495975,90.46403139305241,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",176,57,132,56.25,55.55923795999901,56.25,56.25,39.130434782608695,84.50032095497303,91.28340013369471,87.76098903114752,74.73269984639053,95.72456605861966,83.93605547059919
