tid;gid;sid;latitude;longitude;time;direction_inference;speed_inference_m_s;distance_inference_m;label
2;166;6;0.612;-34.96;2004-04-20 00:58:00;2.13;3.55;14068.8;STOP
2;167;6;0.578;-34.832;2004-04-20 02:03:00;1.58;3.78;14725.8;STOP
2;168;6;0.565;-34.777;2004-04-20 02:31:00;2.91;3.74;6283.94;STOP
2;169;6;0.554;-34.717;2004-04-20 03:00:00;0.62;3.9;6782.58;STOP
2;170;6;0.533;-34.595;2004-04-20 04:00:00;2.43;3.82;13764.7;STOP
2;171;6;0.517;-34.521;2004-04-20 04:39:00;16.19;3.6;8418.23;STOP
2;172;6;0.497;-34.484;2004-04-20 05:00:00;5.44;3.71;4676.66;STOP
2;173;6;0.461;-34.399;2004-04-20 06:00:00;14.82;2.85;10264;STOP
2;174;6;0.456;-34.364;2004-04-20 07:00:00;66.8;1.09;3931.21;STOP
2;175;6;0.479;-34.35;2004-04-20 07:38:00;96.21;1.31;2993.99;STOP
2;176;6;0.494;-34.382;2004-04-20 08:00:00;54.08;2.98;3929.65;STOP
2;177;6;0.463;-34.438;2004-04-20 08:38:00;17.28;3.12;7117.15;STOP
2;178;6;0.457;-34.467;2004-04-20 09:00:00;34.31;2.49;3292.85;STOP
2;179;6;0.467;-34.491;2004-04-20 09:16:00;5.49;3.01;2890.99;STOP
2;180;6;0.506;-34.564;2004-04-20 10:00:00;34.37;3.49;9202.76;STOP
2;181;6;0.498;-34.637;2004-04-20 10:54:00;37.82;2.52;8165.52;STOP
2;182;6;0.437;-34.7;2004-04-20 11:46:00;5.42;3.13;9750.81;STOP
2;183;6;0.429;-34.71;2004-04-20 12:00:00;64.43;1.7;1423.97;STOP
2;184;6;0.471;-34.797;2004-04-20 13:00:00;32.9;2.98;10742;STOP
2;185;6;0.517;-34.825;2004-04-20 13:29:00;5.33;3.44;5987.97;STOP
2;186;6;0.558;-34.845;2004-04-20 14:00:00;23.88;2.73;5072.44;STOP
2;187;6;0.612;-34.847;2004-04-20 14:34:00;39.6;2.95;6008.64;STOP
2;188;6;0.642;-34.824;2004-04-20 15:00:00;20.09;2.69;4203.31;STOP
2;189;7;0.71;-34.717;2004-04-20 15:54:00;0.3;4.35;14096.5;MOVE
2;190;7;0.791;-34.591;2004-04-20 17:00:00;3.09;4.21;16654.9;MOVE
2;191;7;0.828;-34.526;2004-04-20 17:33:00;1.74;4.2;8315.98;MOVE
2;192;7;0.864;-34.467;2004-04-20 18:01:00;0.37;4.57;7684.72;MOVE
2;193;7;0.942;-34.341;2004-04-20 19:00:00;0.5;4.65;16476.4;MOVE
2;194;7;0.993;-34.257;2004-04-20 19:40:00;1.81;4.55;10926;MOVE
2;195;7;1.021;-34.214;2004-04-20 20:00:00;1.64;4.75;5705.1;MOVE
2;196;7;1.043;-34.178;2004-04-20 20:17:00;2.26;4.6;4690.77;MOVE
2;197;7;1.103;-34.088;2004-04-20 21:00:00;0.84;4.66;12026.1;MOVE
2;198;7;1.189;-33.963;2004-04-20 22:05:00;0.37;4.33;16868.9;MOVE
2;199;7;1.246;-33.879;2004-04-20 22:52:00;2.71;4;11286;MOVE
2;200;7;1.309;-33.776;2004-04-20 23:39:00;1.1;4.76;13423.2;MOVE
2;201;7;1.339;-33.729;2004-04-21 00:00:00;1.12;4.92;6198.88;MOVE
2;202;7;1.372;-33.675;2004-04-21 00:25:00;1.9;4.69;7035.54;MOVE
2;203;7;1.42;-33.602;2004-04-21 01:00:00;4.55;4.63;9712.76;MOVE
2;204;7;1.497;-33.503;2004-04-21 01:50:00;5.39;4.65;13943.2;MOVE
2;205;7;1.529;-33.469;2004-04-21 02:08:00;4.94;4.81;5190.78;MOVE
2;206;7;1.612;-33.364;2004-04-21 03:00:00;1.91;4.77;14879.2;MOVE
2;207;7;1.702;-33.242;2004-04-21 04:00:00;0.45;4.68;16853.1;MOVE
2;208;7;1.738;-33.194;2004-04-21 04:24:00;2.3;4.63;6669.77;MOVE
2;209;7;1.76;-33.167;2004-04-21 04:38:00;2.1;4.61;3871.63;MOVE
2;210;7;1.794;-33.122;2004-04-21 05:00:00;2.91;4.75;6269.51;MOVE
2;211;7;1.889;-32.982;2004-04-21 06:08:00;2.8;4.61;18806.3;MOVE
2;212;7;1.968;-32.877;2004-04-21 07:00:00;1.2;4.68;14605.8;MOVE
2;213;7;1.99;-32.849;2004-04-21 07:14:00;0.5;4.71;3958.08;MOVE
2;214;7;2.061;-32.757;2004-04-21 08:00:00;5.94;4.68;12917;MOVE
2;215;7;2.129;-32.647;2004-04-21 08:53:00;5.52;4.52;14372.9;MOVE
2;216;7;2.221;-32.526;2004-04-21 10:00:00;0.1;4.2;16894.3;MOVE
2;217;7;2.279;-32.45;2004-04-21 10:41:00;0.53;4.32;10625.4;MOVE
2;218;7;2.307;-32.414;2004-04-21 11:00:00;1.44;4.45;5068.74;MOVE
2;219;7;2.338;-32.372;2004-04-21 11:23:00;0.44;4.2;5801.46;MOVE
2;220;7;2.389;-32.304;2004-04-21 12:00:00;0;4.26;9446.42;MOVE
2;221;7;2.455;-32.216;2004-04-21 12:48:00;1.33;4.24;12224.5;MOVE
2;222;7;2.475;-32.188;2004-04-21 13:02:00;27.91;4.55;3823.8;MOVE
2;223;7;2.49;-32.076;2004-04-21 14:00:00;11.9;3.61;12553.4;MOVE
2;224;7;2.485;-32.009;2004-04-21 14:31:00;0.8;4.01;7463.78;MOVE
2;225;7;2.481;-31.943;2004-04-21 15:00:00;0.3;4.22;7345.45;MOVE
2;226;7;2.475;-31.852;2004-04-21 15:41:00;0.31;4.12;10131.3;MOVE
2;227;7;2.472;-31.81;2004-04-21 16:00:00;51.33;4.1;4677.75;MOVE
2;228;7;2.525;-31.761;2004-04-21 17:00:00;7.88;2.23;8022.57;MOVE
2;229;7;2.558;-31.738;2004-04-21 17:19:00;81.69;3.92;4471.31;MOVE
2;230;7;2.545;-31.712;2004-04-21 17:38:00;32.06;2.83;3229.75;MOVE
2;231;8;2.504;-31.687;2004-04-21 18:00:00;12.01;4.04;5338.27;STOP
2;232;8;2.413;-31.601;2004-04-21 19:00:00;63.61;3.87;13916.4;STOP
2;233;8;2.424;-31.565;2004-04-21 19:17:00;3.95;4.1;4182.31;STOP
2;234;8;2.443;-31.483;2004-04-21 20:00:00;45.65;3.62;9351.54;STOP
2;235;8;2.372;-31.372;2004-04-21 21:00:00;46.82;4.07;14642.4;STOP
2;236;8;2.391;-31.297;2004-04-21 21:38:00;33.02;3.77;8596.09;STOP
2;237;8;2.431;-31.26;2004-04-21 22:00:00;25.53;4.59;6056.38;STOP
