tid;gid;sid;latitude;longitude;time;direction_inference;speed_inference_m_s;distance_inference_m;wind;label
1382;167988;1;17.6000000000000000;-78.5000000000000000;2005-10-15 18:00:00;90.00;0.00;0.00;25;STOP
1382;167989;1;17.6000000000000000;-78.8000000000000000;2005-10-16 00:00:00;26.57;1.47;31796.99;25;STOP
1382;167990;1;17.5000000000000000;-79.0000000000000000;2005-10-16 06:00:00;26.57;1.11;23942.56;30;STOP
1382;167991;1;17.5000000000000000;-79.2000000000000000;2005-10-16 12:00:00;0.00;0.98;21209.70;30;STOP
1382;167992;1;17.5000000000000000;-79.4000000000000000;2005-10-16 18:00:00;26.57;0.98;21209.70;30;STOP
1382;167993;1;17.4000000000000000;-79.6000000000000000;2005-10-17 00:00:00;63.43;1.11;23952.90;30;STOP
1382;167994;1;16.9000000000000000;-79.6000000000000000;2005-10-17 06:00:00;9.46;2.57;55597.46;35;STOP
1382;167995;1;16.3000000000000000;-79.7000000000000000;2005-10-17 12:00:00;8.97;3.13;67562.58;40;STOP
1382;167996;1;16.0000000000000000;-79.8000000000000000;2005-10-17 18:00:00;8.13;1.62;35026.63;45;STOP
1382;167997;1;15.8000000000000000;-79.9000000000000000;2005-10-18 00:00:00;26.57;1.14;24676.62;55;STOP
1382;167998;1;15.7000000000000000;-79.9000000000000000;2005-10-18 06:00:00;141.34;0.51;11119.49;60;STOP
1382;167999;2;16.2000000000000000;-80.3000000000000000;2005-10-18 12:00:00;24.78;3.25;70142.45;65;MOVE
1382;168000;2;16.6000000000000000;-81.1000000000000000;2005-10-18 18:00:00;26.57;4.46;96231.97;75;MOVE
1382;168001;2;16.6000000000000000;-81.8000000000000000;2005-10-19 00:00:00;45.00;3.45;74592.39;130;MOVE
1382;168002;2;17.0000000000000000;-82.2000000000000000;2005-10-19 06:00:00;18.43;2.85;61573.57;150;MOVE
1382;168003;2;17.3000000000000000;-82.8000000000000000;2005-10-19 12:00:00;17.10;3.33;71950.63;160;MOVE
1382;168004;2;17.4000000000000000;-83.4000000000000000;2005-10-19 18:00:00;30.34;2.99;64644.87;140;MOVE
1382;168005;2;17.9000000000000000;-84.0000000000000000;2005-10-20 00:00:00;23.86;3.91;84457.05;135;MOVE
1382;168006;2;18.1000000000000000;-84.7000000000000000;2005-10-20 06:00:00;5.86;3.58;77295.12;130;MOVE
1382;168007;2;18.3000000000000000;-85.2000000000000000;2005-10-20 12:00:00;23.20;2.65;57307.07;130;MOVE
1382;168008;2;18.6000000000000000;-85.5000000000000000;2005-10-20 18:00:00;14.04;2.13;45979.55;130;MOVE
1382;168009;2;19.1000000000000000;-85.8000000000000000;2005-10-21 00:00:00;5.91;2.96;63935.09;130;MOVE
1382;168010;2;19.5000000000000000;-86.1000000000000000;2005-10-21 06:00:00;10.30;2.52;54493.22;130;MOVE
1382;168011;2;20.1000000000000000;-86.4000000000000000;2005-10-21 12:00:00;29.74;3.41;73730.88;125;MOVE
1382;168012;2;20.3000000000000000;-86.7000000000000000;2005-10-21 18:00:00;37.87;1.78;38401.57;120;MOVE
1382;168013;2;20.6000000000000000;-86.8000000000000000;2005-10-22 00:00:00;26.57;1.62;34947.64;120;MOVE
1382;168014;2;20.8000000000000000;-87.0000000000000000;2005-10-22 06:00:00;18.43;1.41;30452.42;110;MOVE
1382;168015;2;21.0000000000000000;-87.1000000000000000;2005-10-22 12:00:00;26.57;1.14;24545.48;100;MOVE
1382;168016;2;21.3000000000000000;-87.1000000000000000;2005-10-22 18:00:00;18.43;1.54;33358.48;85;MOVE
1382;168017;2;21.6000000000000000;-87.0000000000000000;2005-10-23 00:00:00;26.57;1.62;34927.01;85;MOVE
1382;168018;2;21.8000000000000000;-86.8000000000000000;2005-10-23 06:00:00;4.40;1.41;30356.71;85;MOVE
1382;168019;2;22.4000000000000000;-86.1000000000000000;2005-10-23 12:00:00;4.40;4.55;98244.77;85;MOVE
1382;168020;2;23.1000000000000000;-85.4000000000000000;2005-10-23 18:00:00;5.71;4.90;105881.52;90;MOVE
1382;168021;2;24.0000000000000000;-84.3000000000000000;2005-10-24 00:00:00;0.52;6.96;150290.07;95;MOVE
1382;168022;2;25.0000000000000000;-83.1000000000000000;2005-10-24 06:00:00;10.06;7.62;164640.07;110;MOVE
1382;168023;2;26.2000000000000000;-81.0000000000000000;2005-10-24 12:00:00;9.54;11.54;249294.09;95;MOVE
1382;168024;2;28.0000000000000000;-78.8000000000000000;2005-10-24 18:00:00;2.42;13.69;295764.64;105;MOVE
1382;168025;2;30.1000000000000000;-76.0000000000000000;2005-10-25 00:00:00;1.79;16.60;358591.23;110;MOVE
1382;168026;2;33.3000000000000000;-72.0000000000000000;2005-10-25 06:00:00;1.83;24.04;519344.78;100;MOVE
1382;168027;2;36.8000000000000000;-67.9000000000000000;2005-10-25 12:00:00;0.43;24.96;539101.93;90;MOVE
1382;168028;2;40.5000000000000000;-63.5000000000000000;2005-10-25 18:00:00;10.32;25.99;561329.20;75;MOVE
1382;168029;3;42.5000000000000000;-60.0000000000000000;2005-10-26 00:00:00;1.22;16.97;366575.37;60;STOP
1382;168030;3;44.0000000000000000;-57.5000000000000000;2005-10-26 06:00:00;9.16;12.14;262307.81;55;STOP
1382;168031;3;45.0000000000000000;-55.0000000000000000;2005-10-26 12:00:00;12.34;10.52;227310.73;50;STOP
1382;168032;3;45.5000000000000000;-52.0000000000000000;2005-10-26 18:00:00;0.00;11.17;241323.78;40;STOP
1384;168048;1;10.4000000000000000;-80.9000000000000000;2005-10-26 18:00:00;33.69;0.00;0.00;30;STOP
1384;168049;1;10.7000000000000000;-81.1000000000000000;2005-10-27 00:00:00;0.00;1.85;39884.58;30;STOP
1384;168050;1;11.0000000000000000;-81.3000000000000000;2005-10-27 06:00:00;33.69;1.85;39872.73;35;STOP
1384;168051;1;11.3000000000000000;-81.3000000000000000;2005-10-27 12:00:00;0.00;1.54;33358.48;45;STOP
1384;168052;1;11.6000000000000000;-81.3000000000000000;2005-10-27 18:00:00;18.43;1.54;33358.48;50;STOP
1384;168053;1;11.9000000000000000;-81.2000000000000000;2005-10-28 00:00:00;4.40;1.62;35089.93;50;STOP
1384;168054;1;12.3000000000000000;-81.1000000000000000;2005-10-28 06:00:00;2.73;2.12;45787.55;50;STOP
1384;168055;1;12.8000000000000000;-81.0000000000000000;2005-10-28 12:00:00;25.35;2.62;56647.00;50;STOP
1384;168056;1;13.2000000000000000;-81.1000000000000000;2005-10-28 18:00:00;12.53;2.12;45778.55;50;STOP
1384;168057;1;13.4000000000000000;-81.2000000000000000;2005-10-29 00:00:00;18.43;1.15;24732.00;60;STOP
1384;168058;2;13.6000000000000000;-81.4000000000000000;2005-10-29 06:00:00;18.43;1.44;31019.22;70;MOVE
1384;168059;2;13.7000000000000000;-81.6000000000000000;2005-10-29 12:00:00;26.57;1.13;24303.74;75;MOVE
1384;168060;2;13.7000000000000000;-82.1000000000000000;2005-10-29 18:00:00;11.31;2.50;54015.66;75;MOVE
1384;168061;2;13.6000000000000000;-82.6000000000000000;2005-10-30 00:00:00;19.65;2.55;55159.52;90;MOVE
1384;168062;2;13.3000000000000000;-83.1000000000000000;2005-10-30 06:00:00;14.04;2.52;63534.45;100;MOVE
1384;168063;2;12.9000000000000000;-83.5000000000000000;2005-10-30 12:00:00;26.57;2.87;62088.20;90;MOVE
1384;168064;3;12.7000000000000000;-84.1000000000000000;2005-10-30 18:00:00;18.43;3.18;68754.92;55;STOP
1384;168065;3;12.7000000000000000;-84.9000000000000000;2005-10-31 00:00:00;0.00;4.02;86779.56;20;STOP
1387;168150;1;31.5000000000000000;-49.2000000000000000;2005-11-29 06:00:00;82.87;0.00;0.00;45;STOP
1387;168151;1;31.6000000000000000;-50.0000000000000000;2005-11-29 12:00:00;21.16;3.55;76617.81;45;STOP
1387;168152;1;31.4000000000000000;-50.8000000000000000;2005-11-29 18:00:00;14.04;3.66;79040.27;45;STOP
1387;168153;1;31.4000000000000000;-51.5000000000000000;2005-11-30 00:00:00;16.70;3.08;66437.25;45;STOP
1387;168154;1;31.1000000000000000;-52.5000000000000000;2005-11-30 06:00:00;0.00;4.66;100744.43;50;STOP
1387;168155;1;30.8000000000000000;-53.5000000000000000;2005-11-30 12:00:00;28.30;4.68;101028.26;55;STOP
1387;168156;1;30.1000000000000000;-54.2000000000000000;2005-11-30 18:00:00;90.00;4.76;102766.12;50;STOP
1387;168157;1;29.7000000000000000;-53.8000000000000000;2005-12-01 00:00:00;60.26;2.73;58864.09;50;STOP
1387;168158;1;30.0000000000000000;-52.7000000000000000;2005-12-01 06:00:00;29.74;5.15;111207.61;50;STOP
1387;168159;1;30.8000000000000000;-51.9000000000000000;2005-12-01 12:00:00;0.00;5.44;117472.45;50;STOP
1387;168160;1;31.4000000000000000;-51.3000000000000000;2005-12-01 18:00:00;9.46;4.07;87833.01;55;STOP
1387;168161;1;31.9000000000000000;-50.6000000000000000;2005-12-02 00:00:00;1.33;4.00;86494.87;55;STOP
1387;168162;1;32.5000000000000000;-49.8000000000000000;2005-12-02 06:00:00;1.01;4.66;100584.16;55;STOP
1387;168163;1;33.2000000000000000;-48.9000000000000000;2005-12-02 12:00:00;2.88;5.30;114570.92;60;STOP
1387;168164;2;33.9000000000000000;-47.9000000000000000;2005-12-02 18:00:00;8.43;5.60;121020.57;65;MOVE
1387;168165;2;34.3000000000000000;-47.1000000000000000;2005-12-03 00:00:00;14.04;3.98;86047.29;65;MOVE
1387;168166;2;34.5000000000000000;-46.2000000000000000;2005-12-03 06:00:00;12.53;3.96;85515.55;65;MOVE
1387;168167;2;34.5000000000000000;-45.0000000000000000;2005-12-03 12:00:00;0.00;5.09;109965.74;65;MOVE
1387;168168;2;34.5000000000000000;-43.7000000000000000;2005-12-03 18:00:00;8.13;5.52;119129.43;65;MOVE
1387;168169;2;34.3000000000000000;-42.3000000000000000;2005-12-04 00:00:00;12.89;6.04;130357.62;65;MOVE
1387;168170;2;34.4000000000000000;-41.1000000000000000;2005-12-04 06:00:00;9.16;5.13;110722.95;65;MOVE
1387;168171;2;34.3000000000000000;-39.8000000000000000;2005-12-04 12:00:00;4.40;5.55;119860.23;70;MOVE
1387;168172;2;34.3000000000000000;-38.8000000000000000;2005-12-04 18:00:00;5.71;4.25;91857.57;70;MOVE
1387;168173;2;34.2000000000000000;-37.8000000000000000;2005-12-05 00:00:00;4.59;4.29;92582.36;70;MOVE
1387;168174;2;34.0000000000000000;-36.7000000000000000;2005-12-05 06:00:00;0.84;4.80;103695.90;75;MOVE
1387;168175;2;33.8000000000000000;-35.5000000000000000;2005-12-05 12:00:00;3.12;5.23;112961.77;75;MOVE
1387;168176;2;33.7000000000000000;-34.6000000000000000;2005-12-05 18:00:00;14.22;3.89;83949.07;70;MOVE
1387;168177;2;33.4000000000000000;-33.8000000000000000;2005-12-06 00:00:00;51.01;3.76;81295.21;65;MOVE
1387;168178;2;33.1000000000000000;-33.7000000000000000;2005-12-06 06:00:00;18.43;1.60;34630.34;65;MOVE
1387;168179;2;32.3000000000000000;-33.7000000000000000;2005-12-06 12:00:00;35.54;4.12;88955.94;65;MOVE
1387;168180;2;31.6000000000000000;-34.2000000000000000;2005-12-06 18:00:00;5.65;4.21;91016.10;65;MOVE
1387;168181;2;30.8000000000000000;-34.9000000000000000;2005-12-07 00:00:00;16.34;5.14;111111.17;65;MOVE
1387;168182;2;30.1000000000000000;-36.0000000000000000;2005-12-07 06:00:00;0.00;6.07;131059.30;65;MOVE
1387;168183;2;29.4000000000000000;-37.1000000000000000;2005-12-07 12:00:00;2.52;6.10;131663.03;65;MOVE
1387;168184;3;28.7000000000000000;-38.1000000000000000;2005-12-07 18:00:00;0.55;5.77;124528.21;60;STOP
1387;168185;3;28.2000000000000000;-38.8000000000000000;2005-12-08 00:00:00;22.46;4.08;88173.40;50;STOP
1387;168186;3;27.4000000000000000;-39.3000000000000000;2005-12-08 06:00:00;5.87;4.71;101645.47;35;STOP
1387;168187;3;26.5000000000000000;-40.0000000000000000;2005-12-08 12:00:00;1.93;5.64;121774.33;30;STOP
1387;168188;3;25.9000000000000000;-40.5000000000000000;2005-12-08 18:00:00;25.77;3.86;83304.57;30;STOP
1387;168189;3;25.5000000000000000;-40.6000000000000000;2005-12-09 00:00:00;40.60;2.11;45592.54;30;STOP
1387;168190;3;25.1000000000000000;-40.4000000000000000;2005-12-09 06:00:00;10.30;2.26;48811.20;25;STOP
1387;168191;3;24.7000000000000000;-40.1000000000000000;2005-12-09 12:00:00;53.13;2.49;53794.11;25;STOP
1387;168192;3;24.7000000000000000;-39.2000000000000000;2005-12-09 18:00:00;0.00;4.21;90919.19;25;STOP
1394;168364;1;12.7000000000000000;-61.6000000000000000;2006-08-24 18:00:00;77.91;0.00;0.00;30;STOP
1394;168365;1;13.0000000000000000;-63.0000000000000000;2006-08-25 00:00:00;0.00;7.19;155396.49;30;STOP
1394;168366;1;13.3000000000000000;-64.4000000000000000;2006-08-25 06:00:00;3.85;7.19;155217.40;30;STOP
1394;168367;1;13.7000000000000000;-65.8000000000000000;2006-08-25 12:00:00;2.95;7.30;157770.38;35;STOP
1394;168368;1;14.0000000000000000;-67.1000000000000000;2006-08-25 18:00:00;1.04;6.68;144260.13;35;STOP
1394;168369;1;14.3000000000000000;-68.3000000000000000;2006-08-26 00:00:00;0.00;6.19;133616.20;40;STOP
1394;168370;1;14.6000000000000000;-69.5000000000000000;2006-08-26 06:00:00;15.02;6.18;133449.09;45;STOP
1394;168371;1;15.1000000000000000;-70.4000000000000000;2006-08-26 12:00:00;7.82;5.17;111571.74;50;STOP
1394;168372;1;15.7000000000000000;-71.2000000000000000;2006-08-26 18:00:00;0.00;5.03;108656.27;55;STOP
1394;168373;1;16.3000000000000000;-72.0000000000000000;2006-08-27 00:00:00;3.73;5.02;108457.41;55;STOP
1394;168374;2;16.9000000000000000;-72.7000000000000000;2006-08-27 06:00:00;5.06;4.63;100075.53;65;MOVE
1394;168375;3;17.4000000000000000;-73.4000000000000000;2006-08-27 12:00:00;1.85;4.30;92858.75;55;STOP
1394;168376;3;17.8000000000000000;-74.0000000000000000;2006-08-27 18:00:00;6.12;3.59;77604.51;45;STOP
1394;168377;3;18.3000000000000000;-74.6000000000000000;2006-08-28 00:00:00;13.32;3.91;84349.63;40;STOP
1394;168378;3;19.1000000000000000;-75.2000000000000000;2006-08-28 06:00:00;12.91;5.05;109117.71;40;STOP
1394;168379;3;20.0000000000000000;-75.6000000000000000;2006-08-28 12:00:00;21.04;5.02;108497.97;35;STOP
1394;168380;3;20.8000000000000000;-76.4000000000000000;2006-08-28 18:00:00;6.34;5.64;121920.78;35;STOP
1394;168381;3;21.6000000000000000;-77.4000000000000000;2006-08-29 00:00:00;2.63;6.32;136602.61;35;STOP
1394;168382;3;22.4000000000000000;-78.5000000000000000;2006-08-29 06:00:00;8.97;6.67;144132.43;40;STOP
1394;168383;3;23.2000000000000000;-79.3000000000000000;2006-08-29 12:00:00;4.40;5.60;120986.90;40;STOP
1394;168384;3;23.9000000000000000;-79.9000000000000000;2006-08-29 18:00:00;8.60;4.58;98989.93;40;STOP
1394;168385;3;24.7000000000000000;-80.4000000000000000;2006-08-30 00:00:00;1.68;4.74;102375.35;40;STOP
1394;168386;3;25.3000000000000000;-80.8000000000000000;2006-08-30 06:00:00;19.65;3.61;77949.22;40;STOP
1394;168387;3;26.1000000000000000;-81.0000000000000000;2006-08-30 12:00:00;20.38;4.22;91185.04;35;STOP
1394;168388;3;27.0000000000000000;-80.9000000000000000;2006-08-30 18:00:00;3.96;4.66;100568.53;35;STOP
1394;168389;3;28.1000000000000000;-80.7000000000000000;2006-08-31 00:00:00;2.69;5.74;123893.36;35;STOP
1394;168390;3;29.4000000000000000;-80.4000000000000000;2006-08-31 06:00:00;9.63;6.83;147482.07;45;STOP
1394;168391;3;30.6000000000000000;-79.9000000000000000;2006-08-31 12:00:00;5.68;6.57;141854.66;55;STOP
1394;168392;3;31.9000000000000000;-79.2000000000000000;2006-08-31 18:00:00;3.31;7.37;159132.91;60;STOP
1394;168393;3;33.2000000000000000;-78.4000000000000000;2006-09-01 00:00:00;14.50;7.54;162842.15;60;STOP
1394;168394;3;34.5000000000000000;-78.0000000000000000;2006-09-01 06:00:00;0.00;6.91;149197.95;50;STOP
1394;168395;3;35.8000000000000000;-77.6000000000000000;2006-09-01 12:00:00;9.46;6.90;149057.45;30;STOP
1394;168396;3;36.6000000000000000;-77.2000000000000000;2006-09-01 18:00:00;4.76;4.44;95923.59;40;STOP
1394;168397;3;37.1000000000000000;-77.0000000000000000;2006-09-02 00:00:00;0.00;2.70;58376.05;40;STOP
1394;168398;3;37.6000000000000000;-76.8000000000000000;2006-09-02 06:00:00;12.34;2.70;58340.47;40;STOP
1394;168399;3;38.2000000000000000;-76.7000000000000000;2006-09-02 12:00:00;9.46;3.12;67291.43;40;STOP
1394;168400;3;38.9000000000000000;-76.7000000000000000;2006-09-02 18:00:00;0.00;3.60;77836.45;40;STOP
1394;168401;3;39.9000000000000000;-76.7000000000000000;2006-09-03 00:00:00;15.95;5.15;111194.93;35;STOP
1394;168402;3;41.3000000000000000;-77.1000000000000000;2006-09-03 06:00:00;3.42;7.37;159293.24;25;STOP
1394;168403;3;43.1000000000000000;-77.5000000000000000;2006-09-03 12:00:00;32.18;9.39;202844.10;20;STOP
1394;168404;3;44.5000000000000000;-77.0000000000000000;2006-09-03 18:00:00;27.84;7.44;160760.71;20;STOP
1394;168405;3;45.6000000000000000;-75.8000000000000000;2006-09-04 00:00:00;9.78;7.15;154422.56;20;STOP
1394;168406;3;46.5000000000000000;-74.4000000000000000;2006-09-04 06:00:00;0.00;6.82;147264.35;20;STOP
1395;168412;1;14.1000000000000000;-39.4000000000000000;2006-09-03 18:00:00;45.00;0.00;0.00;30;STOP
1395;168413;1;14.7000000000000000;-40.0000000000000000;2006-09-04 00:00:00;10.01;4.30;92881.47;30;STOP
1395;168414;1;15.4000000000000000;-41.0000000000000000;2006-09-04 06:00:00;10.22;6.14;132623.43;30;STOP
1395;168415;1;16.0000000000000000;-42.3000000000000000;2006-09-04 12:00:00;6.34;7.14;154325.89;30;STOP
1395;168416;1;16.4000000000000000;-43.5000000000000000;2006-09-04 18:00:00;9.69;6.28;135635.28;30;STOP
1395;168417;1;16.6000000000000000;-44.8000000000000000;2006-09-05 00:00:00;0.00;6.50;140373.16;30;STOP
1395;168418;1;16.8000000000000000;-46.1000000000000000;2006-09-05 06:00:00;5.29;6.49;140230.82;35;STOP
1395;168419;1;17.0000000000000000;-46.9000000000000000;2006-09-05 12:00:00;4.40;4.07;87971.52;35;STOP
1395;168420;1;17.3000000000000000;-47.8000000000000000;2006-09-05 18:00:00;2.12;4.69;101276.93;40;STOP
1395;168421;1;17.6000000000000000;-48.6000000000000000;2006-09-06 00:00:00;3.89;4.22;91182.96;40;STOP
1395;168422;1;18.1000000000000000;-49.7000000000000000;2006-09-06 06:00:00;0.48;5.97;129019.58;40;STOP
1395;168423;1;18.5000000000000000;-50.6000000000000000;2006-09-06 12:00:00;11.58;4.86;104909.08;45;STOP
1395;168424;1;19.0000000000000000;-51.3000000000000000;2006-09-06 18:00:00;8.97;4.27;92323.08;45;STOP
1395;168425;1;19.3000000000000000;-51.9000000000000000;2006-09-07 00:00:00;3.37;3.30;71308.68;45;STOP
1395;168426;1;19.6000000000000000;-52.6000000000000000;2006-09-07 06:00:00;0.00;3.73;80619.59;45;STOP
1395;168427;1;19.9000000000000000;-53.3000000000000000;2006-09-07 12:00:00;1.40;3.73;80495.15;40;STOP
1395;168428;1;20.3000000000000000;-54.3000000000000000;2006-09-07 18:00:00;1.40;5.25;113500.03;40;STOP
1395;168429;1;20.9000000000000000;-55.7000000000000000;2006-09-08 00:00:00;0.00;7.42;160264.78;40;STOP
1395;168430;1;21.5000000000000000;-57.1000000000000000;2006-09-08 06:00:00;16.49;7.40;159736.17;40;STOP
1395;168431;1;21.7000000000000000;-58.8000000000000000;2006-09-08 12:00:00;2.04;8.20;177157.32;40;STOP
1395;168432;1;21.9000000000000000;-60.1000000000000000;2006-09-08 18:00:00;32.89;6.30;136045.27;45;STOP
1395;168433;1;22.7000000000000000;-61.0000000000000000;2006-09-09 00:00:00;1.40;5.94;128397.72;50;STOP
1395;168434;1;23.8000000000000000;-62.3000000000000000;2006-09-09 06:00:00;6.55;8.36;180553.38;50;STOP
1395;168435;1;24.4000000000000000;-63.2000000000000000;2006-09-09 12:00:00;7.50;5.24;113120.47;50;STOP
