tid;gid;sid;latitude;longitude;time;direction_inference;speed_inference_m_s;distance_inference_m;wind;label
1424;169402;1;21.5000000000000000;-70.0000000000000000;2008-09-25 00:00:00;50.19;0.00;0.00;30;STOP
1424;169403;1;22.0000000000000000;-69.4000000000000000;2008-09-25 06:00:00;10.06;3.85;83252.56;35;STOP
1424;169404;1;22.4000000000000000;-68.7000000000000000;2008-09-25 12:00:00;37.06;3.92;84686.64;40;STOP
1424;169405;1;23.1000000000000000;-68.4000000000000000;2008-09-25 18:00:00;0.76;3.87;83695.10;40;STOP
1424;169406;1;24.0000000000000000;-68.0000000000000000;2008-09-26 00:00:00;35.27;5.00;108062.55;45;STOP
1424;169407;1;25.0000000000000000;-68.2000000000000000;2008-09-26 06:00:00;10.49;5.23;113021.30;50;STOP
1424;169408;1;26.0000000000000000;-68.6000000000000000;2008-09-26 12:00:00;21.80;5.47;118219.61;50;STOP
1424;169409;1;26.9000000000000000;-68.6000000000000000;2008-09-26 18:00:00;0.00;4.63;100075.43;50;STOP
1424;169410;1;28.7000000000000000;-68.6000000000000000;2008-09-27 00:00:00;30.26;9.27;200150.87;55;STOP
1424;169411;1;29.9000000000000000;-69.3000000000000000;2008-09-27 06:00:00;21.51;6.93;149705.70;60;STOP
1424;169412;2;31.2000000000000000;-69.5000000000000000;2008-09-27 12:00:00;3.31;6.75;145816.49;65;MOVE
1424;169413;2;33.3000000000000000;-69.7000000000000000;2008-09-27 18:00:00;5.44;10.85;234265.39;70;MOVE
1424;169414;2;35.3000000000000000;-69.7000000000000000;2008-09-28 00:00:00;10.78;10.30;222389.85;70;MOVE
1424;169415;2;37.4000000000000000;-69.3000000000000000;2008-09-28 06:00:00;18.03;10.94;236240.40;70;MOVE
1424;169416;2;39.4000000000000000;-68.2000000000000000;2008-09-28 12:00:00;5.48;11.21;242163.19;75;MOVE
1424;169417;2;41.6000000000000000;-66.7000000000000000;2008-09-28 18:00:00;21.48;12.76;275540.21;70;MOVE
1424;169418;2;43.8000000000000000;-66.2000000000000000;2008-09-29 00:00:00;20.89;11.48;248016.18;65;MOVE
1424;169419;3;45.6000000000000000;-65.0000000000000000;2008-09-29 06:00:00;1.85;10.25;221478.71;50;STOP
1424;169420;3;47.7000000000000000;-63.5000000000000000;2008-09-29 12:00:00;25.41;12.04;260055.67;45;STOP
1424;169421;3;48.2000000000000000;-62.6000000000000000;2008-09-29 18:00:00;18.75;4.03;87084.45;40;STOP
1424;169422;3;48.4000000000000000;-61.5000000000000000;2008-09-30 00:00:00;32.11;3.91;84350.81;35;STOP
1424;169423;3;48.2000000000000000;-61.0000000000000000;2008-09-30 06:00:00;4.76;2.00;43156.23;30;STOP
1424;169424;3;48.1000000000000000;-60.8000000000000000;2008-09-30 12:00:00;0.00;0.86;18541.66;25;STOP
1425;169426;1;39.0000000000000000;-35.0000000000000000;2008-09-26 00:00:00;180.00;0.00;0.00;40;STOP
1425;169427;1;37.9000000000000000;-35.0000000000000000;2008-09-26 06:00:00;29.05;5.66;122314.42;45;STOP
1425;169428;1;37.0000000000000000;-35.5000000000000000;2008-09-26 12:00:00;15.95;5.06;109376.12;50;STOP
1425;169429;1;36.5000000000000000;-36.0000000000000000;2008-09-26 18:00:00;90.00;3.30;71242.79;55;STOP
1425;169430;1;37.0000000000000000;-36.5000000000000000;2008-09-27 00:00:00;15.26;3.30;71242.79;60;STOP
1425;169431;2;37.4000000000000000;-37.2000000000000000;2008-09-27 06:00:00;22.62;3.53;76302.77;65;MOVE
1425;169432;2;37.5000000000000000;-38.0000000000000000;2008-09-27 12:00:00;12.84;3.31;71490.53;70;MOVE
1425;169433;2;37.4000000000000000;-39.0000000000000000;2008-09-27 18:00:00;0.00;4.12;88973.03;70;MOVE
1425;169434;3;37.3000000000000000;-40.0000000000000000;2008-09-28 00:00:00;0.95;4.12;89089.98;60;STOP
1425;169435;3;37.2000000000000000;-41.2000000000000000;2008-09-28 06:00:00;3.98;4.94;106793.38;55;STOP
1425;169436;3;37.0000000000000000;-42.5000000000000000;2008-09-28 12:00:00;1.62;5.44;117417.69;50;STOP
1425;169437;3;36.8000000000000000;-44.1000000000000000;2008-09-28 18:00:00;3.55;6.67;143999.18;50;STOP
1425;169438;3;36.7000000000000000;-45.7000000000000000;2008-09-29 00:00:00;16.57;6.62;142983.89;50;STOP
1425;169439;3;37.0000000000000000;-47.0000000000000000;2008-09-29 06:00:00;2.95;5.57;120385.65;50;STOP
1425;169440;3;37.2000000000000000;-47.7000000000000000;2008-09-29 12:00:00;34.25;3.05;65943.97;50;STOP
1425;169441;3;37.8000000000000000;-48.2000000000000000;2008-09-29 18:00:00;19.25;3.70;79979.07;50;STOP
1425;169442;3;38.6000000000000000;-48.5000000000000000;2008-09-30 00:00:00;3.86;4.29;92738.09;50;STOP
1425;169443;3;39.6000000000000000;-48.8000000000000000;2008-09-30 06:00:00;10.99;5.29;114168.45;50;STOP
1425;169444;3;40.6000000000000000;-48.9000000000000000;2008-09-30 12:00:00;10.91;5.16;111519.73;50;STOP
1425;169445;3;41.7000000000000000;-48.8000000000000000;2008-09-30 18:00:00;17.43;5.68;122600.63;50;STOP
1425;169446;3;42.9000000000000000;-48.3000000000000000;2008-10-01 00:00:00;2.16;6.46;139625.84;45;STOP
1425;169447;3;44.2000000000000000;-47.7000000000000000;2008-10-01 06:00:00;3.30;7.06;152425.32;45;STOP
1425;169448;3;45.7000000000000000;-46.9000000000000000;2008-10-01 12:00:00;9.64;8.25;178275.77;40;STOP
1425;169449;3;47.5000000000000000;-46.3000000000000000;2008-10-01 18:00:00;9.90;9.51;205331.31;40;STOP
1425;169450;3;49.5000000000000000;-46.0000000000000000;2008-10-02 00:00:00;8.53;10.35;223485.11;35;STOP
1425;169451;3;51.5000000000000000;-46.0000000000000000;2008-10-02 06:00:00;0.00;10.30;222389.85;35;STOP
1425;169452;3;53.5000000000000000;-46.0000000000000000;2008-10-02 12:00:00;13.39;10.30;222389.85;40;STOP
1425;169453;3;55.6000000000000000;-45.5000000000000000;2008-10-02 18:00:00;35.69;10.91;235723.60;40;STOP
1425;169454;3;56.9000000000000000;-44.0000000000000000;2008-10-03 00:00:00;38.05;7.95;171695.33;50;STOP
1425;169455;4;57.0000000000000000;-42.0000000000000000;2008-10-03 06:00:00;2.86;5.64;121789.13;65;MOVE
1425;169456;5;57.0000000000000000;-40.0000000000000000;2008-10-03 12:00:00;0.00;5.61;121117.87;60;STOP
1425;169457;5;57.0000000000000000;-37.0000000000000000;2008-10-03 18:00:00;5.10;8.41;181668.69;55;STOP
1425;169458;5;56.5000000000000000;-31.4000000000000000;2008-10-04 00:00:00;0.19;16.01;345812.44;45;STOP
1425;169459;5;56.0000000000000000;-26.0000000000000000;2008-10-04 06:00:00;0.00;15.65;338102.59;40;STOP
1428;169487;1;15.4000000000000000;-69.0000000000000000;2008-10-13 06:00:00;108.43;0.00;0.00;25;STOP
1428;169488;1;15.2000000000000000;-69.6000000000000000;2008-10-13 12:00:00;45.00;3.15;68086.62;30;STOP
1428;169489;1;14.8000000000000000;-69.8000000000000000;2008-10-13 18:00:00;60.26;2.29;49393.62;30;STOP
1428;169490;1;14.5000000000000000;-69.6000000000000000;2008-10-14 00:00:00;22.62;1.84;39695.39;35;STOP
1428;169491;1;14.3000000000000000;-69.3000000000000000;2008-10-14 06:00:00;7.13;1.82;39224.19;40;STOP
1428;169492;1;14.2000000000000000;-69.1000000000000000;2008-10-14 12:00:00;18.43;1.12;24253.84;50;STOP
1428;169493;1;13.9000000000000000;-68.8000000000000000;2008-10-14 18:00:00;66.80;2.15;46475.68;60;STOP
1428;169494;2;14.1000000000000000;-68.3000000000000000;2008-10-15 00:00:00;23.20;2.70;58350.12;65;MOVE
1428;169495;2;14.4000000000000000;-68.0000000000000000;2008-10-15 06:00:00;5.19;2.15;46455.87;70;MOVE
1428;169496;2;14.9000000000000000;-67.4000000000000000;2008-10-15 12:00:00;1.93;3.94;85190.82;75;MOVE
1428;169497;2;15.6000000000000000;-66.5000000000000000;2008-10-15 18:00:00;2.36;5.74;124018.35;80;MOVE
1428;169498;2;16.7000000000000000;-65.2000000000000000;2008-10-16 00:00:00;8.85;8.57;185037.88;95;MOVE
1428;169499;2;18.2000000000000000;-63.9000000000000000;2008-10-16 06:00:00;11.21;10.02;216413.68;115;MOVE
1428;169500;2;19.6000000000000000;-62.1000000000000000;2008-10-16 12:00:00;3.55;11.35;245129.49;90;MOVE
1428;169501;2;21.1000000000000000;-60.4000000000000000;2008-10-16 18:00:00;5.31;11.27;243369.01;70;MOVE
1428;169502;2;22.8000000000000000;-58.8000000000000000;2008-10-17 00:00:00;6.80;11.62;250917.58;65;MOVE
1428;169503;2;25.1000000000000000;-57.1000000000000000;2008-10-17 06:00:00;9.90;14.29;308617.93;70;MOVE
1428;169504;2;27.9000000000000000;-55.7000000000000000;2008-10-17 12:00:00;4.01;15.79;341084.30;75;MOVE
1428;169505;2;30.1000000000000000;-54.4000000000000000;2008-10-17 18:00:00;14.42;12.75;275361.02;65;MOVE
1428;169506;3;31.3000000000000000;-53.2000000000000000;2008-10-18 00:00:00;0.00;8.15;175975.16;55;STOP
1428;169507;3;32.4000000000000000;-52.1000000000000000;2008-10-18 06:00:00;8.13;7.43;160482.93;50;STOP
1428;169508;3;33.0000000000000000;-51.3000000000000000;2008-10-18 12:00:00;4.86;4.64;100272.82;40;STOP
