tid;gid;sid;latitude;longitude;time;direction_inference;speed_inference_m_s;distance_inference_m;label
3;353;14;1.99;-34.239;2004-04-25 00:00:00;7.27;4.38;15252;STOP
3;354;14;2.041;-34.329;2004-04-25 00:46:00;19.11;4.17;11497.2;STOP
3;355;14;2.066;-34.351;2004-04-25 01:00:00;3.07;4.41;3701.94;STOP
3;356;14;2.166;-34.449;2004-04-25 02:00:00;11.53;4.32;15563.7;STOP
3;357;14;2.191;-34.486;2004-04-25 02:19:00;142.26;4.35;4962.86;STOP
3;358;14;2.195;-34.424;2004-04-25 03:00:00;13.25;2.81;6903.38;STOP
3;359;14;2.179;-34.329;2004-04-25 03:44:00;0.59;4.05;10704.7;STOP
3;360;14;2.173;-34.291;2004-04-25 04:00:00;0.2;4.45;4274.74;STOP
3;361;14;2.152;-34.161;2004-04-25 05:00:00;1.75;4.06;14632.6;STOP
3;362;14;2.141;-34.104;2004-04-25 05:27:00;1.73;3.98;6450.69;STOP
3;363;14;2.13;-34.036;2004-04-25 06:00:00;0.56;3.87;7654.36;STOP
3;364;14;2.108;-33.908;2004-04-25 07:00:00;3.64;4.01;14432.1;STOP
3;365;14;2.098;-33.866;2004-04-25 07:21:00;20.67;3.81;4797.68;STOP
3;366;14;2.05;-33.795;2004-04-25 08:00:00;56.81;4.07;9525.45;STOP
3;367;14;1.984;-33.796;2004-04-25 09:00:00;53.25;2.04;7339.71;STOP
3;368;14;1.95;-33.843;2004-04-25 09:46:00;51.92;2.34;6447.77;STOP
3;369;14;1.924;-33.844;2004-04-25 10:00:00;89.43;3.44;2893.2;STOP
3;370;14;1.926;-33.914;2004-04-25 11:00:00;18.74;2.16;7782.43;STOP
3;371;14;1.939;-33.949;2004-04-25 11:34:00;6.19;2.03;4149.53;STOP
3;372;14;1.961;-33.993;2004-04-25 12:00:00;0.24;3.5;5467.53;STOP
3;373;14;2.009;-34.088;2004-04-25 13:00:00;9.22;3.29;11829.7;STOP
3;374;14;2.025;-34.11;2004-04-25 13:17:00;1.25;2.96;3023.6;STOP
3;375;14;2.05;-34.146;2004-04-25 14:00:00;1.62;1.89;4871.51;STOP
3;376;14;2.099;-34.221;2004-04-25 14:51:00;14.44;3.25;9957.15;STOP
3;377;14;2.122;-34.242;2004-04-25 15:10:00;11.62;3.04;3462.08;STOP
3;378;14;2.175;-34.315;2004-04-25 16:00:00;30.02;3.34;10026.4;STOP
3;379;15;2.182;-34.382;2004-04-25 16:34:00;9.46;3.67;7485.26;MOVE
3;380;15;2.198;-34.44;2004-04-25 17:00:00;0.17;4.29;6685.66;MOVE
3;381;15;2.222;-34.526;2004-04-25 17:40:00;0;4.13;9921.31;MOVE
3;382;15;2.234;-34.569;2004-04-25 18:00:00;25.06;4.13;4960.6;MOVE
3;383;15;2.229;-34.599;2004-04-25 18:13:00;5.23;4.33;3379.37;MOVE
3;384;15;2.202;-34.702;2004-04-25 19:00:00;11.41;4.2;11831.8;MOVE
3;385;15;2.178;-34.751;2004-04-25 19:24:00;33.05;4.21;6063.43;MOVE
3;386;16;2.101;-34.797;2004-04-25 20:01:00;1.96;4.49;9971.68;STOP
